Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2013-05-08,1.294,1.306,1.265,1.271
2013-05-09,1.263,1.273,1.236,1.273
2013-05-10,1.309,1.393,1.3,1.38
2013-05-13,1.373,1.373,1.341,1.356
2013-05-14,1.371,1.38,1.347,1.376
2013-05-15,1.401,1.407,1.35,1.381
2013-05-16,1.36,1.394,1.322,1.33
2013-05-17,1.318,1.332,1.289,1.329
2013-05-20,1.357,1.383,1.325,1.378
2013-05-21,1.372,1.418,1.359,1.394
2013-05-22,1.381,1.405,1.335,1.389
2013-05-23,1.356,1.415,1.343,1.405
2013-05-24,1.428,1.474,1.413,1.432
2013-05-27,1.429,1.461,1.424,1.457
2013-05-28,1.478,1.51,1.451,1.501
2013-05-29,1.523,1.552,1.506,1.539
2013-05-30,1.514,1.533,1.501,1.521
2013-05-31,1.502,1.537,1.454,1.509
2013-06-03,1.508,1.577,1.5,1.523
2013-06-04,1.545,1.57,1.539,1.541
2013-06-05,1.532,1.557,1.51,1.513
2013-06-06,1.508,1.569,1.494,1.523
2013-06-07,1.499,1.556,1.486,1.545
2013-06-10,1.546,1.605,1.523,1.605
2013-06-11,1.61,1.657,1.59,1.602
2013-06-12,1.593,1.621,1.583,1.587
2013-06-13,1.566,1.583,1.551,1.563
2013-06-14,1.533,1.543,1.509,1.515
2013-06-17,1.539,1.547,1.506,1.524
2013-06-18,1.533,1.581,1.533,1.571
2013-06-19,1.563,1.564,1.533,1.559
2013-06-20,1.668,1.678,1.627,1.667
2013-06-21,1.676,1.742,1.668,1.731
2013-06-24,1.776,1.855,1.761,1.815
2013-06-25,1.785,1.832,1.76,1.805
2013-06-26,1.8,1.8,1.735,1.77
2013-06-27,1.757,1.764,1.696,1.728
2013-06-28,1.701,1.77,1.697,1.733
2013-07-01,1.738,1.768,1.711,1.723
2013-07-02,1.72,1.731,1.69,1.707
2013-07-03,1.672,1.675,1.629,1.663
2013-07-04,1.671,1.683,1.599,1.65
2013-07-05,1.654,1.737,1.653,1.72
2013-07-08,1.701,1.731,1.694,1.7
2013-07-09,1.702,1.706,1.646,1.658
2013-07-10,1.635,1.665,1.626,1.656
2013-07-11,1.616,1.64,1.602,1.625
2013-07-12,1.598,1.603,1.537,1.559
2013-07-15,1.556,1.587,1.554,1.577
2013-07-16,1.572,1.587,1.546,1.55
2013-07-17,1.556,1.593,1.535,1.543
2013-07-18,1.527,1.538,1.505,1.52
2013-07-19,1.509,1.538,1.504,1.523
2013-07-22,1.517,1.533,1.508,1.517
2013-07-23,1.519,1.572,1.513,1.551
2013-07-24,1.547,1.654,1.547,1.65
2013-07-25,1.659,1.696,1.641,1.675
2013-07-26,1.667,1.693,1.646,1.667
2013-07-29,1.652,1.689,1.646,1.666
2013-07-30,1.667,1.682,1.655,1.67
2013-07-31,1.679,1.708,1.635,1.672
2013-08-01,1.632,1.684,1.595,1.668
2013-08-02,1.689,1.734,1.642,1.652
2013-08-05,1.64,1.696,1.625,1.687
2013-08-06,1.692,1.718,1.685,1.706
2013-08-07,1.691,1.724,1.663,1.69
2013-08-08,1.67,1.706,1.648,1.689
2013-08-09,1.705,1.705,1.664,1.679
2013-08-12,1.683,1.72,1.677,1.701
2013-08-13,1.722,1.819,1.721,1.81
2013-08-14,1.826,1.842,1.794,1.824
2013-08-15,1.817,1.907,1.801,1.884
2013-08-16,1.884,1.886,1.861,1.882
2013-08-19,1.906,1.916,1.873,1.899
2013-08-20,1.882,1.883,1.836,1.844
2013-08-21,1.859,1.893,1.836,1.872
2013-08-22,1.923,1.945,1.899,1.921
2013-08-23,1.916,1.981,1.915,1.934
2013-08-26,1.927,1.934,1.885,1.899
2013-08-27,1.89,1.9,1.84,1.849
2013-08-28,1.839,1.888,1.829,1.874
2013-08-29,1.874,1.903,1.847,1.856
2013-08-30,1.849,1.872,1.829,1.857
2013-09-02,1.896,1.931,1.891,1.904
2013-09-03,1.897,1.955,1.891,1.94
2013-09-04,1.928,1.955,1.918,1.942
2013-09-05,1.97,2.049,1.964,2.044
2013-09-06,2.034,2.042,1.934,1.952
2013-09-09,1.96,1.977,1.942,1.96
2013-09-10,1.99,2.047,1.982,2.026
2013-09-11,2.035,2.035,1.992,1.997
2013-09-12,1.958,2.003,1.928,2.003
2013-09-13,2.03,2.045,1.962,1.977
2013-09-16,1.936,1.949,1.915,1.938
2013-09-17,1.947,1.977,1.934,1.964
2013-09-18,1.965,2.016,1.955,2.001
2013-09-19,1.868,1.935,1.864,1.922
2013-09-20,1.923,1.971,1.905,1.947
2013-09-23,1.946,1.981,1.914,1.92
2013-09-24,1.909,1.922,1.843,1.848
2013-09-25,1.848,1.863,1.82,1.822
2013-09-26,1.833,1.843,1.809,1.832
2013-09-27,1.834,1.839,1.772,1.78
2013-09-30,1.757,1.805,1.743,1.778
2013-10-01,1.783,1.816,1.77,1.807
2013-10-02,1.8,1.837,1.786,1.812
2013-10-03,1.819,1.852,1.794,1.794
2013-10-04,1.811,1.845,1.799,1.842
2013-10-07,1.819,1.821,1.79,1.806
2013-10-08,1.816,1.835,1.805,1.81
2013-10-09,1.817,1.824,1.778,1.812
2013-10-10,1.847,1.88,1.825,1.869
2013-10-11,1.858,1.883,1.848,1.866
2013-10-14,1.847,1.872,1.847,1.862
2013-10-15,1.903,1.916,1.876,1.916
2013-10-16,1.911,1.946,1.906,1.93
2013-10-17,1.889,1.906,1.862,1.87
2013-10-18,1.875,1.875,1.818,1.831
2013-10-21,1.842,1.855,1.83,1.848
2013-10-22,1.851,1.857,1.79,1.796
2013-10-23,1.788,1.795,1.762,1.767
2013-10-24,1.773,1.781,1.737,1.765
2013-10-25,1.766,1.768,1.749,1.757
2013-10-28,1.761,1.766,1.74,1.75
2013-10-29,1.747,1.767,1.734,1.744
2013-10-30,1.72,1.723,1.687,1.69
2013-10-31,1.709,1.712,1.651,1.677
2013-11-01,1.679,1.703,1.663,1.692
2013-11-04,1.69,1.693,1.671,1.68
2013-11-05,1.684,1.75,1.684,1.743
2013-11-06,1.726,1.756,1.722,1.742
2013-11-07,1.745,1.758,1.678,1.689
2013-11-08,1.688,1.771,1.679,1.759
2013-11-11,1.751,1.76,1.732,1.757
2013-11-12,1.77,1.796,1.769,1.79
2013-11-13,1.779,1.793,1.73,1.736
2013-11-14,1.728,1.73,1.695,1.702
2013-11-15,1.707,1.734,1.7,1.709
2013-11-18,1.697,1.722,1.68,1.681
2013-11-19,1.684,1.725,1.68,1.723
2013-11-20,1.738,1.762,1.702,1.717
2013-11-21,1.771,1.784,1.738,1.745
2013-11-22,1.741,1.777,1.738,1.749
2013-11-25,1.747,1.755,1.719,1.724
2013-11-26,1.73,1.732,1.686,1.691
2013-11-27,1.706,1.72,1.689,1.72
2013-11-28,1.715,1.746,1.695,1.696
2013-11-29,1.688,1.714,1.688,1.693
2013-12-02,1.704,1.753,1.701,1.744
2013-12-03,1.737,1.76,1.715,1.725
2013-12-04,1.738,1.82,1.738,1.815
2013-12-05,1.813,1.869,1.8,1.862
2013-12-06,1.865,1.891,1.835,1.842
2013-12-09,1.849,1.852,1.829,1.842
2013-12-10,1.839,1.843,1.815,1.837
2013-12-11,1.835,1.845,1.812,1.816
2013-12-12,1.846,1.855,1.816,1.839
2013-12-13,1.836,1.852,1.822,1.831
2013-12-16,1.818,1.842,1.815,1.835
2013-12-17,1.832,1.846,1.82,1.829
2013-12-18,1.835,1.852,1.817,1.846
2013-12-19,1.863,1.89,1.84,1.871
2013-12-20,1.876,1.906,1.862,1.871
2013-12-23,1.877,1.894,1.869,1.882
2013-12-27,1.908,1.954,1.903,1.951
2013-12-30,1.959,1.961,1.937,1.941
2014-01-02,1.963,1.971,1.933,1.94
2014-01-03,1.943,1.957,1.929,1.944
2014-01-06,1.926,1.928,1.905,1.908
2014-01-07,1.907,1.912,1.881,1.889
2014-01-08,1.897,1.91,1.873,1.905
2014-01-09,1.909,1.93,1.883,1.915
2014-01-10,1.901,1.902,1.839,1.845
2014-01-13,1.846,1.854,1.815,1.817
2014-01-14,1.804,1.822,1.804,1.815
2014-01-15,1.821,1.843,1.807,1.826
2014-01-16,1.823,1.827,1.774,1.779
2014-01-17,1.774,1.78,1.751,1.755
2014-01-20,1.748,1.76,1.729,1.741
2014-01-21,1.756,1.773,1.738,1.739
2014-01-22,1.752,1.768,1.738,1.762
2014-01-23,1.751,1.765,1.704,1.709
2014-01-24,1.689,1.695,1.639,1.654
2014-01-27,1.669,1.683,1.657,1.666
2014-01-28,1.676,1.696,1.67,1.677
2014-01-29,1.692,1.699,1.637,1.642
2014-01-30,1.633,1.716,1.605,1.715
2014-01-31,1.699,1.702,1.645,1.661
2014-02-03,1.66,1.681,1.641,1.646
2014-02-04,1.632,1.659,1.632,1.653
2014-02-05,1.649,1.652,1.599,1.637
2014-02-06,1.649,1.705,1.638,1.698
2014-02-07,1.689,1.693,1.649,1.662
2014-02-10,1.664,1.686,1.655,1.681
2014-02-11,1.693,1.702,1.677,1.688
2014-02-12,1.691,1.726,1.68,1.717
2014-02-13,1.717,1.717,1.654,1.67
2014-02-14,1.676,1.694,1.666,1.682
2014-02-17,1.69,1.704,1.683,1.686
2014-02-18,1.691,1.698,1.656,1.667
2014-02-19,1.671,1.676,1.635,1.663
2014-02-20,1.663,1.702,1.635,1.691
2014-02-21,1.69,1.694,1.658,1.665
2014-02-24,1.662,1.686,1.657,1.68
2014-02-25,1.68,1.695,1.644,1.645
2014-02-26,1.656,1.663,1.609,1.618
2014-02-27,1.597,1.598,1.547,1.564
2014-02-28,1.57,1.64,1.557,1.626
2014-03-03,1.581,1.588,1.555,1.556
2014-03-04,1.591,1.607,1.576,1.6
2014-03-05,1.605,1.63,1.599,1.606
2014-03-06,1.615,1.672,1.615,1.648
2014-03-07,1.649,1.683,1.632,1.655
2014-03-10,1.633,1.657,1.618,1.626
2014-03-11,1.633,1.661,1.611,1.64
2014-03-12,1.621,1.624,1.577,1.598
2014-03-13,1.595,1.602,1.54,1.543
2014-03-14,1.529,1.554,1.506,1.548
2014-03-17,1.543,1.572,1.541,1.568
2014-03-18,1.564,1.584,1.551,1.57
2014-03-19,1.572,1.605,1.569,1.601
2014-03-20,1.635,1.67,1.626,1.648
2014-03-21,1.642,1.65,1.631,1.633
2014-03-24,1.644,1.656,1.578,1.58
2014-03-25,1.581,1.591,1.568,1.574
2014-03-26,1.579,1.583,1.553,1.57
2014-03-27,1.57,1.57,1.527,1.538
2014-03-28,1.539,1.566,1.513,1.551
2014-03-31,1.547,1.597,1.546,1.567
2014-04-01,1.574,1.588,1.567,1.575
2014-04-02,1.587,1.621,1.587,1.616
2014-04-03,1.625,1.64,1.6,1.605
2014-04-04,1.608,1.628,1.55,1.554
2014-04-07,1.541,1.571,1.535,1.541
2014-04-08,1.558,1.571,1.542,1.561
2014-04-09,1.559,1.589,1.558,1.576
2014-04-10,1.545,1.55,1.516,1.522
2014-04-11,1.532,1.541,1.49,1.507
2014-04-14,1.503,1.533,1.494,1.528
2014-04-15,1.529,1.531,1.471,1.474
2014-04-16,1.485,1.503,1.482,1.487
2014-04-17,1.483,1.517,1.483,1.516
2014-04-22,1.529,1.551,1.522,1.536
2014-04-23,1.531,1.549,1.513,1.521
2014-04-24,1.531,1.558,1.509,1.532
2014-04-25,1.514,1.517,1.477,1.484
2014-04-28,1.493,1.513,1.485,1.499
2014-04-29,1.511,1.538,1.501,1.501
2014-04-30,1.493,1.522,1.468,1.471
2014-05-02,1.457,1.506,1.448,1.451
2014-05-05,1.454,1.463,1.439,1.459
2014-05-06,1.458,1.482,1.451,1.462
2014-05-07,1.456,1.495,1.444,1.476
2014-05-08,1.473,1.492,1.443,1.448
2014-05-09,1.448,1.466,1.441,1.458
2014-05-12,1.469,1.475,1.456,1.466
2014-05-13,1.468,1.474,1.418,1.422
2014-05-14,1.423,1.423,1.37,1.37
2014-05-15,1.384,1.384,1.301,1.306
2014-05-16,1.311,1.338,1.298,1.332
2014-05-19,1.322,1.355,1.312,1.344
2014-05-20,1.353,1.367,1.34,1.35
2014-05-21,1.345,1.384,1.339,1.375
2014-05-22,1.383,1.409,1.348,1.408
2014-05-23,1.411,1.422,1.402,1.413
2014-05-26,1.418,1.433,1.401,1.418
2014-05-27,1.421,1.426,1.376,1.389
2014-05-28,1.386,1.388,1.334,1.339
2014-05-29,1.338,1.356,1.331,1.355
2014-05-30,1.37,1.38,1.353,1.359
2014-06-02,1.364,1.377,1.334,1.371
2014-06-03,1.365,1.421,1.36,1.408
2014-06-04,1.409,1.444,1.401,1.434
2014-06-05,1.424,1.492,1.398,1.409
2014-06-06,1.381,1.388,1.332,1.351
2014-06-09,1.36,1.386,1.351,1.379
2014-06-10,1.371,1.415,1.369,1.406
2014-06-11,1.424,1.445,1.388,1.399
2014-06-12,1.403,1.418,1.379,1.389
2014-06-13,1.413,1.413,1.357,1.364
2014-06-16,1.358,1.365,1.343,1.356
2014-06-17,1.352,1.409,1.352,1.4
2014-06-18,1.406,1.419,1.37,1.378
2014-06-19,1.35,1.351,1.306,1.324
2014-06-20,1.334,1.362,1.33,1.345
2014-06-23,1.352,1.354,1.311,1.324
2014-06-24,1.327,1.334,1.312,1.321
2014-06-25,1.308,1.317,1.259,1.263
2014-06-26,1.271,1.276,1.238,1.246
2014-06-27,1.246,1.265,1.241,1.264
2014-06-30,1.262,1.271,1.242,1.245
2014-07-01,1.255,1.265,1.239,1.248
2014-07-02,1.257,1.289,1.236,1.288
2014-07-03,1.293,1.334,1.289,1.29
2014-07-04,1.286,1.29,1.252,1.265
2014-07-07,1.261,1.277,1.254,1.256
2014-07-08,1.265,1.268,1.218,1.22
2014-07-09,1.218,1.234,1.211,1.229
2014-07-10,1.211,1.214,1.168,1.198
2014-07-11,1.205,1.222,1.196,1.205
2014-07-14,1.214,1.218,1.202,1.209
2014-07-15,1.208,1.221,1.184,1.206
2014-07-16,1.202,1.21,1.19,1.192
2014-07-17,1.181,1.186,1.15,1.151
2014-07-18,1.153,1.165,1.136,1.157
2014-07-21,1.157,1.16,1.139,1.149
2014-07-22,1.156,1.183,1.15,1.167
2014-07-23,1.161,1.175,1.139,1.148
2014-07-24,1.153,1.188,1.141,1.179
2014-07-25,1.174,1.186,1.143,1.147
2014-07-28,1.155,1.167,1.135,1.15
2014-07-29,1.151,1.153,1.111,1.121
2014-07-30,1.124,1.173,1.116,1.171
2014-07-31,1.174,1.2,1.15,1.156
2014-08-01,1.168,1.195,1.13,1.132
2014-08-04,1.144,1.144,1.127,1.138
2014-08-05,1.134,1.186,1.134,1.169
2014-08-06,1.153,1.159,1.096,1.102
2014-08-07,1.085,1.104,1.059,1.062
2014-08-08,1.035,1.066,1.023,1.053
2014-08-11,1.07,1.073,1.049,1.059
2014-08-12,1.067,1.072,1.049,1.061
2014-08-13,1.07,1.087,1.027,1.028
2014-08-14,1.021,1.025,1,1.02
2014-08-15,1.014,1.021,0.952,0.955
2014-08-18,0.986,1.018,0.986,1.016
2014-08-19,1.015,1.021,0.988,1.001
2014-08-20,0.999,1.014,0.98,0.99
2014-08-21,0.991,1.013,0.98,0.992
2014-08-22,0.989,1.005,0.964,0.983
2014-08-25,0.961,0.971,0.926,0.947
2014-08-26,0.943,0.953,0.932,0.939
2014-08-27,0.928,0.94,0.896,0.91
2014-08-28,0.902,0.915,0.868,0.884
2014-08-29,0.88,0.91,0.873,0.891
2014-09-01,0.891,0.896,0.88,0.883
2014-09-02,0.893,0.945,0.893,0.932
2014-09-03,0.927,0.97,0.927,0.955
2014-09-04,0.951,0.977,0.903,0.971
2014-09-05,0.967,0.98,0.925,0.929
2014-09-08,0.934,0.955,0.918,0.953
