Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-05-08,29.4451,29.5738,29.3725,29.5355,170076.22370161
2013-05-09,29.5355,29.5669,29.2998,29.4009,124296.49617024
2013-05-10,29.2418,29.2792,29.0641,29.2634,233033.40343105
2013-05-13,29.1279,29.2851,29.07,29.2222,104757.92064532
2013-05-14,29.2055,29.508,29.2055,29.4726,72952.499996671
2013-05-15,29.3725,29.4226,29.1849,29.3793,136484.94263239
2013-05-16,29.2851,29.4451,29.1476,29.1976,121585.12427743
2013-05-17,29.2634,29.5669,29.2418,29.5443,224774.05352703
2013-05-20,29.4726,29.9038,29.4726,29.8302,159485.27723938
2013-05-21,29.8252,30.0993,29.7634,29.8901,305012.538227
2013-05-22,29.8979,30.1847,29.4785,29.5944,448556.41489349
2013-05-23,29.3577,29.5738,29.1623,29.5257,228602.35180601
2013-05-24,29.3214,29.3931,29.179,29.3931,156634.41681886
2013-05-28,29.7319,29.8547,29.508,29.5944,72899.555446004
2013-05-29,29.4834,29.6092,29.3528,29.5267,342728.40342604
2013-05-30,29.5021,29.673,29.3361,29.5532,141433.22179087
2013-05-31,29.4471,29.5139,28.9,28.9,1512120.8029903
2013-06-03,28.9776,29.2418,28.955,29.2222,144893.96270849
2013-06-04,29.0817,29.2507,28.8863,29.0032,134541.26672426
2013-06-05,28.8902,28.9816,28.6378,28.6437,155897.26576726
2013-06-06,28.6083,28.8126,28.4905,28.8126,116467.8298226
2013-06-07,28.8185,29.07,28.7596,29.0032,77182.973227835
2013-06-10,29.0395,29.0641,28.8755,29.0032,70788.900570383
2013-06-11,28.7331,28.8627,28.6172,28.682,65463.900570626
2013-06-12,28.8539,28.9177,28.407,28.4296,148586.8451175
2013-06-13,28.4492,29.0032,28.4158,28.9914,387698.69023087
2013-06-14,28.848,28.9295,28.5867,28.6516,166267.27054691
2013-06-17,28.8608,29.0641,28.8028,28.955,203364.09176892
2013-06-18,28.8902,29.1721,28.8902,29.0906,171236.93115853
2013-06-19,29.1279,29.1721,28.6751,28.682,164123.0162449
2013-06-20,28.3608,28.3608,27.8501,27.8619,203669.54109969
2013-06-21,28.0662,28.1546,27.6655,28.0416,517138.95313128
2013-06-24,27.5712,27.7912,27.1852,27.5348,220005.98947371
2013-06-25,27.7745,27.856,27.5555,27.799,130119.37857915
2013-06-26,28.0092,28.0534,27.7539,27.9798,290459.91394468
2013-06-27,28.075,28.244,28.0593,28.0829,121211.45792946
2013-06-28,27.9896,28.1791,27.9061,27.9503,320968.19310199
2013-07-01,28.1261,28.3157,28.0593,28.1114,328110.61661983
2013-07-02,28.0475,28.3314,27.9896,28.1261,255940.06690993
2013-07-03,28.0662,28.1634,27.9444,28.1182,123354.69406703
2013-07-05,28.0976,28.3009,28.0024,28.2803,72075.860417361
2013-07-08,28.3677,28.6083,28.352,28.4777,174334.18737254
2013-07-09,28.5867,28.7842,28.5494,28.7773,72963.699805466
