Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-05-08,41.2256,41.6063,41.2256,41.5838,85187.044040908
2013-05-09,41.3939,41.5045,41.0905,41.1385,78029.72230164
2013-05-10,41.2109,41.2667,41.0122,41.2667,36885.849089068
2013-05-13,41.2256,41.345,41.0337,41.3137,90442.14866934
2013-05-14,41.2021,41.5838,41.2021,41.5838,91600.641796992
2013-05-15,41.53,41.8148,41.4096,41.7982,63803.95792549
2013-05-16,41.6318,41.7982,41.4253,41.439,73790.08695794
2013-05-17,41.5202,42.0057,41.5202,41.9754,47075.27629824
2013-05-20,41.9509,42.1574,41.9255,42.084,24101.560729776
2013-05-21,41.7982,42.1026,41.7767,42.0292,104191.84796834
2013-05-22,41.9421,42.4599,41.3675,41.5437,93330.208697446
2013-05-23,40.6618,41.0758,40.4944,41.0337,112540.35399936
2013-05-24,40.557,40.7166,40.4317,40.6999,36571.196634644
2013-05-28,41.2745,41.4321,40.9554,41.1062,259916.20813964
2013-05-29,40.8477,40.9535,40.695,40.8879,16500.865077456
2013-05-30,40.9251,41.3773,40.9251,41.2422,43750.993549228
2013-05-31,40.9769,41.0239,40.4523,40.4523,101456.00617306
2013-06-03,40.4699,40.5981,40.1997,40.4875,387825.49565963
2013-06-04,40.8056,40.8879,40.3642,40.5502,171028.93296261
2013-06-05,40.2017,40.2017,39.5968,39.6457,109283.49677629
2013-06-06,39.4666,39.91,39.3374,39.8787,49629.27349324
2013-06-07,40.1204,40.4611,39.8982,40.4611,42071.484993796
2013-06-10,40.5648,40.5825,40.232,40.3524,53072.0617121
2013-06-11,39.8229,40.0891,39.6849,39.7984,63739.597196176
2013-06-12,40.0343,40.0343,39.3481,39.4206,181147.8698492
2013-06-13,39.5635,40.3192,39.5635,40.3015,95769.78681811
2013-06-14,40.1449,40.1939,39.6604,39.726,99435.283592374
2013-06-17,40.2555,40.3906,39.9697,40.1929,129493.78737977
2013-06-18,40.3642,40.556,40.3573,40.4767,229447.02160329
2013-06-19,40.3965,40.3965,39.7426,39.7426,60009.739692598
2013-06-20,38.9811,39.078,38.4025,38.4965,129786.98625775
2013-06-21,38.8274,38.8274,38.0923,38.5298,55745.585975826
2013-06-24,37.9347,38.1921,37.5451,37.9347,220713.37279527
2013-06-25,38.2616,38.6825,38.2616,38.5866,59252.734924
2013-06-26,38.9488,39.0946,38.845,38.9644,64123.718374304
2013-06-27,39.2816,39.491,39.2816,39.4186,18867.909677782
2013-06-28,39.2571,39.3941,39.0623,39.1494,32155.846283928
2013-07-01,39.4754,39.7348,39.3941,39.4499,119587.3430598
2013-07-02,39.2483,39.6193,39.0946,39.2728,204558.82973745
2013-07-03,38.8538,39.2414,38.8049,39.1592,94491.766621732
2013-07-05,39.677,39.677,39.2659,39.5547,42771.280225226
2013-07-08,39.9031,40.05,39.4998,39.8464,85461.85413909
2013-07-09,40.2418,40.2673,39.9589,40.186,71831.681908814
2013-07-10,40.097,40.3231,40,40.1302,19428.767461804
2013-07-11,40.9211,40.9368,40.6206,40.8967,15090.037026938
2013-07-12,40.6383,40.8546,40.6383,40.7998,25525.669565708
2013-07-15,40.9593,41.1306,40.9368,41.0748,51901.309397912
2013-07-16,41.1639,41.1639,40.8967,41.0582,49276.82188033
2013-07-17,41.1786,41.3166,41.1218,41.2197,9988.172230206
2013-07-18,41.3313,41.7277,41.3313,41.6788,76088.68443344
2013-07-19,41.671,41.7776,41.5496,41.7522,48940.715849468
2013-07-22,41.808,42.0909,41.808,42.0909,44431.378401976
2013-07-23,42.13,42.2612,42.0429,42.13,34423.795793088
2013-07-24,42.1653,42.2367,41.8256,41.9225,22382.209818102
2013-07-25,41.7992,42.0517,41.7042,42.0517,44663.281347282
2013-07-26,41.7953,41.9284,41.6044,41.9284,17797.274053638
2013-07-29,41.7199,41.7336,41.5026,41.6308,11495.030575256
2013-07-30,41.6387,41.808,41.4625,41.5026,66452.963816144
2013-07-31,41.5173,41.8413,41.4938,41.5271,38322.217111536
2013-08-01,41.8971,42.3405,41.8971,42.3033,674461.62245336
2013-08-02,42.2945,42.4384,42.2289,42.4296,23714.374755014
2013-08-05,42.269,42.319,42.13,42.2044,55066.222721956
2013-08-06,42.1565,42.2044,41.9284,41.9284,10706.35624144
2013-08-07,41.6876,41.7953,41.5907,41.7199,42271.718373884
2013-08-08,42.0263,42.2612,41.947,42.179,15692.780364958
2013-08-09,42.2289,42.3992,42.179,42.2367,103360.26648165
2013-08-12,42.1653,42.1731,42.0517,42.1007,10976.058345232
2013-08-13,42.1007,42.3591,41.9538,42.2847,13913.155119482
2013-08-14,42.3826,42.4296,42.2769,42.319,21425.993268294
2013-08-15,41.9627,41.9627,41.6132,41.8648,19346.017952686
2013-08-16,41.9284,42.0762,41.808,41.9137,13008.018513574
2013-08-19,41.7708,41.7708,41.3391,41.3391,56318.702946384
2013-08-20,41.1375,41.4536,41.0239,41.3714,66299.723984444
2013-08-21,41.2109,41.3078,40.8477,41.0817,22824.562132276
2013-08-22,41.1375,41.485,41.1375,41.485,8286.188499458
2013-08-23,41.6563,41.7199,41.5271,41.7199,5578.951472758
2013-08-26,41.5339,41.6964,41.3714,41.3714,23592.804488532
2013-08-27,40.6706,40.8546,40.3877,40.4376,63802.936326612
2013-08-28,40.3789,40.6529,40.2585,40.4444,48878.39831791
2013-08-29,40.3877,40.7264,40.3877,40.4983,47303.092848034
2013-08-30,40.6128,40.6128,40.1684,40.2585,95611.43899202
2013-09-03,41.1708,41.1708,40.5267,40.6706,1556798.1846022
2013-09-04,40.7087,41.1375,40.6206,41.0817,63876.491445828
2013-09-05,41.0024,41.2833,41.0024,41.1943,14111.345301814
2013-09-06,41.5339,41.5339,41.0973,41.3636,35856.077420044
2013-09-09,41.7111,41.9773,41.6132,41.9773,19569.748106968
2013-09-10,42.319,42.5196,42.319,42.504,12379.735203604
2013-09-11,42.4952,42.5979,42.3826,42.5921,18538.954839066
2013-09-12,42.5705,42.5705,42.3111,42.3591,132676.06788474
2013-09-13,42.3591,42.4384,42.2367,42.4384,3725.771108066
2013-09-16,42.9327,43.0032,42.8201,42.8495,62376.784292924
2013-09-17,42.8417,42.9885,42.8417,42.9885,4814.795512014
2013-09-18,43.1275,44.0692,42.874,43.8509,216425.7223043
2013-09-19,44.1338,44.1338,43.5768,43.7295,60269.22580761
2013-09-20,43.7872,43.7872,43.3262,43.3928,43187.070968572
2013-09-23,43.1647,43.1647,42.963,43.0394,6953.001963668
2013-09-24,42.9151,43.2381,42.8838,42.9552,43918.53576522
2013-09-25,42.9415,43.1334,42.8368,42.9797,13317.562973608
2013-09-26,43.1099,43.2518,42.9239,43.0511,87402.89200729
2013-09-27,42.9552,43.012,42.8926,42.9709,12837.411500948
2013-09-30,42.4168,42.6733,42.3992,42.4795,35955.17251121
2013-10-01,42.6968,42.9797,42.5421,42.874,85630.41795396
2013-10-02,42.8368,42.9552,42.642,42.9004,12649.437307396
2013-10-03,43.0394,43.0394,42.4863,42.7213,26679.05469897
2013-10-04,42.874,43.0208,42.7311,42.9552,16187.23422191
