Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-05-08,32.78,32.8902,32.7502,32.8386,154719.29229503
2013-05-09,32.8018,32.8684,32.6657,32.7114,57357.987180484
2013-05-10,32.7154,33.0283,32.7154,33.0283,153853.57213541
2013-05-13,32.9588,33.1475,32.8902,33.1137,96563.03059527
2013-05-14,33.1684,33.3929,33.1277,33.381,68367.732977934
2013-05-15,33.3432,33.6571,33.3124,33.526,484433.84834458
2013-05-16,33.4277,33.4326,33.1515,33.1565,305678.7418038
2013-05-17,33.1356,33.2707,33.0363,33.2439,123122.51977146
2013-05-20,33.2399,33.2628,33.0939,33.0998,114825.69935794
2013-05-21,33.1763,33.4694,33.1038,33.4227,141030.84725949
2013-05-22,33.5518,34.0376,33.2787,33.4058,179611.76683827
2013-05-23,33.0124,33.381,33.0124,33.3124,397561.85028035
2013-05-24,33.2002,33.3263,33.0452,33.2955,52049.91462037
2013-05-28,33.5846,33.7505,33.4147,33.5091,248103.31793206
2013-05-29,33.2429,33.3025,32.8366,33.0343,603078.78291835
2013-05-30,33.0313,33.2528,33.0283,33.1594,407919.28600404
2013-05-31,32.9488,33.0243,32.4392,32.4392,143917.9233267
2013-06-03,32.6051,32.6051,32.319,32.5823,747568.48421094
2013-06-04,32.5813,32.6697,32.3041,32.4492,142305.26786657
2013-06-05,32.3041,32.4839,31.9634,31.9833,124730.14197485
2013-06-06,32.0578,32.3459,31.9088,32.3459,147062.7021391
2013-06-07,32.4889,32.772,32.4889,32.7154,235806.06506
2013-06-10,32.7929,32.8614,32.6906,32.8018,94992.654491766
2013-06-11,32.5306,32.7939,32.475,32.6568,55813.784012038
2013-06-12,32.9816,33.0283,32.5286,32.5326,132157.21562335
2013-06-13,32.475,32.933,32.3627,32.9161,162513.7936857
2013-06-14,32.781,32.9339,32.6816,32.776,213850.9991514
2013-06-17,33.0899,33.1803,32.8187,32.9399,101697.95912346
2013-06-18,32.9389,33.1038,32.9389,33.0998,813637.02550913
2013-06-19,33.0681,33.1137,32.5306,32.5306,579625.81980333
2013-06-20,32.1829,32.1829,31.5174,31.6117,275585.90639473
2013-06-21,31.8094,32.0081,31.5819,31.8263,170727.06203729
2013-06-24,31.3306,31.6376,31.1677,31.4429,176429.74192598
2013-06-25,31.6336,31.7061,31.4478,31.6336,98763.570442872
2013-06-26,31.9316,32.1829,31.9127,32.1114,111745.34623184
2013-06-27,32.3588,32.5276,32.3329,32.3588,69769.998306256
2013-06-28,32.3141,32.4144,32.021,32.021,339767.98306601
2013-07-01,32.3747,32.5396,32.3041,32.3329,410204.38456491
2013-07-02,32.2525,32.3955,32.1114,32.2038,115182.05393528
2013-07-03,32.0389,32.2843,31.9316,32.174,70524.986817556
2013-07-05,32.4442,32.4909,32.2237,32.4303,75748.500664403
2013-07-08,32.6697,32.7502,32.5992,32.6528,227787.08041865
2013-07-09,32.7402,32.8455,32.6776,32.7641,78539.944853516
2013-07-10,32.7065,33.0899,32.7065,32.9846,158469.06856782
2013-07-11,33.2608,33.524,33.2608,33.4714,85657.976538053
2013-07-12,33.5071,33.6134,33.4058,33.5777,108551.24150337
2013-07-15,33.6134,33.6551,33.5071,33.6263,70498.813882497
2013-07-16,33.5687,33.5737,33.3681,33.4237,75392.14608707
2013-07-17,33.5826,33.6323,33.4753,33.4972,54576.609504854
2013-07-18,33.5647,33.6522,33.527,33.5568,122763.14524008
2013-07-19,33.524,33.8558,33.4187,33.826,168119.83504494
2013-07-22,33.8628,34.0058,33.8071,33.9671,95057.080178064
2013-07-23,33.981,33.981,33.8161,33.8767,88477.606964921
2013-07-24,34.0465,34.0465,33.7118,33.826,62326.818236186
2013-07-25,33.7724,34.0108,33.678,33.9979,54945.043898369
2013-07-26,33.8558,34.1061,33.7088,34.1061,86314.31321721
2013-07-29,33.9244,34.0575,33.9104,33.971,55970.821622388
2013-07-30,34.0316,34.0803,33.8856,33.9194,67714.416252823
2013-07-31,33.9422,34.1836,33.9422,33.9979,246544.01499339
2013-08-01,34.2015,34.282,34.1528,34.2452,1551662.4549372
2013-08-02,34.2492,34.3396,34.2015,34.3346,238233.101461
2013-08-05,34.2254,34.3396,34.2254,34.2899,100301.73370323
2013-08-06,34.3773,34.425,34.1618,34.2452,50551.010762603
2013-08-07,34.2114,34.3038,34.0893,34.2393,89152.063368349
2013-08-08,34.3654,34.3803,34.1836,34.3346,50878.172450833
2013-08-09,34.2492,34.3297,34.1697,34.2452,24692.150924904
2013-08-12,34.0704,34.1737,34.0505,34.1359,35756.255895168
2013-08-13,34.1618,34.3038,34.0505,34.2611,50712.074978347
2013-08-14,34.2651,34.3078,34.0754,34.0754,45691.904703876
2013-08-15,33.831,33.831,33.5181,33.6522,68635.502236609
2013-08-16,33.5916,33.674,33.5111,33.5647,35067.706372862
2013-08-19,33.5955,33.7376,33.5528,33.5876,73264.085136552
2013-08-20,33.683,33.8717,33.683,33.8032,92269.662594344
2013-08-21,33.7088,33.821,33.4893,33.5489,80618.679887962
2013-08-22,33.6134,33.8032,33.6134,33.7595,151989.25383817
2013-08-23,33.8598,33.8677,33.6999,33.831,36941.084532235
2013-08-26,33.976,34.0406,33.8558,33.8946,103080.09142481
2013-08-27,33.6363,33.6363,33.3204,33.3422,71638.343208886
2013-08-28,33.3065,33.4237,33.1445,33.2985,118656.0077386
2013-08-29,33.2747,33.4813,33.1187,33.3243,52118.366912062
2013-08-30,33.3164,33.3164,33.0124,33.078,292942.58894384
2013-09-03,33.4237,33.5876,33.1406,33.2379,644266.92948948
2013-09-04,33.2061,33.6224,33.2061,33.5826,65314.559438237
2013-09-05,33.6055,33.6055,33.4416,33.5151,35541.839157959
2013-09-06,33.674,33.7952,33.2906,33.6224,599845.41878729
2013-09-09,33.7853,33.8439,33.6462,33.7853,348894.28419061
2013-09-10,33.8946,33.976,33.8439,33.9631,526065.92816036
2013-09-11,33.976,34.1737,33.976,34.131,1043568.2732999
2013-09-12,34.131,34.1836,34.0058,34.0316,145231.60333636
2013-09-13,34.0535,34.1359,34.0008,34.1131,59935.014632388
2013-09-16,34.4379,34.4985,34.286,34.3177,117519.49836626
2013-09-17,34.3694,34.3853,34.276,34.3773,43342.38045671
2013-09-18,34.3535,34.8244,34.2214,34.7916,101907.34260393
2013-09-19,34.8045,34.8214,34.6108,34.6833,132060.5770939
2013-09-20,34.7916,34.8393,34.6466,34.6466,87002.862739515
2013-09-23,34.6495,34.6495,34.3535,34.5204,795002.9023989
2013-09-24,34.4379,34.5631,34.3605,34.3605,182937.74289338
2013-09-25,34.3694,34.4161,34.2313,34.2492,50117.144031442
2013-09-26,34.3853,34.4509,34.2254,34.3038,95706.370297782
2013-09-27,34.2174,34.4111,34.2174,34.4022,35593.178376727
2013-09-30,34.1449,34.3535,34.1449,34.2899,129758.36546011
2013-10-01,34.3038,34.5631,34.2899,34.5323,799242.91787836
2013-10-02,34.4111,34.4379,34.2393,34.4062,89514.457853773
2013-10-03,34.4062,34.425,34.1191,34.2114,48748.098197618
2013-10-04,34.2542,34.4161,34.1389,34.3605,75086.124077156
2013-10-07,34.0277,34.273,34.0237,34.0843,50272.168339096
2013-10-08,34.1022,34.1022,33.6005,33.6005,115483.04268845
2013-10-09,33.6323,33.6323,33.3343,33.4575,86671.674445892
2013-10-10,33.7465,34.1787,33.7465,34.1191,131869.3133377
2013-10-11,34.2691,34.3694,34.2214,34.3485,32211.836497452
2013-10-14,34.276,34.5929,34.2055,34.5889,97264.666585105
2013-10-15,34.5711,34.5711,34.3346,34.3346,33399.685088564
2013-10-16,34.4856,34.8949,34.4419,34.8949,66492.341515865
2013-10-17,34.9386,35.3091,34.9386,35.2476,59579.666706402
2013-10-18,35.3538,35.3538,35.0449,35.2058,160120.98343055
2013-10-21,35.1234,35.185,35.0807,35.1393,49368.195428233
2013-10-22,35.2923,35.6181,35.2883,35.5505,111774.53912094
2013-10-23,35.5277,35.5545,35.3856,35.5337,36834.379489304
2013-10-24,35.6539,35.7443,35.5774,35.6151,116279.30390503
2013-10-25,35.7661,35.7661,35.5337,35.6946,83454.416736405
2013-10-28,35.5813,35.8476,35.5813,35.7393,70820.942313985
2013-10-29,35.939,35.9688,35.8227,35.9688,61382.579271387
2013-10-30,36.1327,36.1327,35.7154,35.8019,131157.61083438
2013-10-31,35.8108,35.8207,35.6151,35.6727,344148.92973425
2013-11-01,35.5813,35.788,35.4949,35.7711,469734.72535524
2013-11-04,35.7572,35.8952,35.6638,35.8307,221403.90421844
2013-11-05,35.7522,35.7661,35.5207,35.7045,77662.144877712
2013-11-06,35.9568,35.9688,35.6946,35.7353,69643.160236357
2013-11-07,35.8158,35.8207,35.3737,35.3777,52875.368726058
2013-11-08,35.3638,35.783,35.2754,35.775,84660.385051788
2013-11-11,35.7303,35.9082,35.7303,35.8446,22128.209940529
2013-11-12,35.8913,35.9042,35.7125,35.8764,93185.715321388
2013-11-13,35.7353,36.077,35.6419,36.0343,43681.621961121
2013-11-14,36.085,36.3006,36.0731,36.2717,66407.7828026
2013-11-15,36.2618,36.4515,36.2449,36.4208,209144.90409763
2013-11-18,36.6165,36.6165,36.2886,36.3284,98232.058530917
2013-11-19,36.3532,36.3711,36.1506,36.3045,58001.237392111
2013-11-20,36.2807,36.5191,36.1992,36.2976,66473.215140246
2013-11-21,36.4595,36.5708,36.4555,36.5578,56123.832627345
2013-11-22,36.7396,36.8936,36.7396,36.8837,28428.840730164
2013-11-25,36.979,37.0456,36.9095,36.9453,56448.981012878
2013-11-26,36.8112,36.982,36.8112,36.8658,60734.295803017
2013-11-27,36.9741,37.0327,36.8112,36.842,69046.215986756
2013-11-29,36.9612,37.1131,36.9224,36.9274,272044.50695105
2013-12-02,37.0406,37.0625,36.9135,36.9612,154139.46111836
2013-12-03,36.8112,36.8241,36.5817,36.6453,127215.56415405
2013-12-04,36.4873,36.6244,36.2111,36.4466,25773.294473085
2013-12-05,36.4953,36.54,36.3761,36.4466,48726.958519302
2013-12-06,36.7466,36.8628,36.6075,36.828,171508.22348365
2013-12-09,36.9035,36.9035,36.8241,36.8588,74427.774095302
2013-12-10,36.7128,36.7714,36.5708,36.681,55963.77506295
2013-12-11,36.677,36.7396,36.1774,36.2111,77021.914620129
2013-12-12,36.1953,36.1953,35.9231,35.926,125147.90228444
2013-12-13,35.9737,36.0989,35.788,35.9817,61685.581327255
2013-12-16,36.1247,36.3393,36.0145,36.077,100470.85112976
2013-12-17,36.0999,36.0999,35.7393,35.9191,162970.81339787
2013-12-18,35.9837,36.6165,35.7125,36.6165,57799.907122431
2013-12-19,36.6651,36.6959,36.535,36.681,73075.841334401
2013-12-20,36.7903,36.8896,36.7357,36.838,45242.93820249
2013-12-23,36.8509,37.0247,36.8509,36.9929,77559.466440175
2013-12-24,37.0158,37.0208,36.9155,36.9542,20859.829241545
2013-12-26,37.0247,37.2234,37.0247,37.141,39220.143185012
2013-12-27,37.279,37.3724,37.2403,37.288,36900.818478299
2013-12-30,37.3406,37.4449,37.1986,37.4449,97907.916796732
2013-12-31,37.4837,37.5324,37.3029,37.3267,97528.409238386
2014-01-02,37.1221,37.2572,36.98,37.0794,732621.7249899
2014-01-03,37.1757,37.3118,37.1062,37.2204,82909.818356921
2014-01-06,37.3406,37.4221,37.0516,37.1221,126334.7442242
2014-01-07,37.2572,37.4618,37.2572,37.4171,43176.282984224
2014-01-08,37.5324,37.6367,37.3406,37.6098,56773.122747063
2014-01-09,37.8175,37.8701,37.5602,37.8661,123111.44660662
2014-01-10,38.0142,38.0817,37.8274,38.0757,49787.969040516
2014-01-13,38.042,38.1175,37.6396,37.7092,376791.61300882
2014-01-14,37.8403,38.1781,37.7171,38.1612,266690.12842892
2014-01-15,38.195,38.2824,38.0231,38.1681,152135.21828369
2014-01-16,38.2377,38.2983,38.1453,38.2983,214672.42665169
2014-01-17,38.3291,38.339,38.1353,38.2029,63718.010399675
2014-01-21,38.5367,38.5367,38.2327,38.3966,229022.24162314
2014-01-22,38.4334,38.5059,38.3688,38.49,223365.86769648
2014-01-23,38.4771,38.4771,38.1453,38.334,133341.03760906
2014-01-24,38.0906,38.0906,37.4072,37.4132,99669.556656432
2014-01-27,37.3963,37.4042,36.9582,37.1896,145613.12419741
2014-01-28,37.4171,37.6039,37.3158,37.5026,134080.92635014
2014-01-29,37.2125,37.3635,37.0486,37.1549,78620.476961388
2014-01-30,37.6327,37.885,37.59,37.8274,134797.6621102
2014-01-31,37.3883,37.6496,37.2403,37.4271,272566.95900087
2014-02-03,37.6327,37.7171,36.7466,36.7774,517661.39605256
2014-02-04,36.989,37.1102,36.8857,37.0307,235423.53754761
2014-02-05,37.1757,37.1797,36.7257,36.9463,341583.98209853
2014-02-06,37.0794,37.2204,37.0486,37.2085,131528.0585306
2014-02-07,37.3406,37.8781,37.2979,37.8661,143397.48457958
2014-02-10,37.8741,38.0817,37.8175,38.0757,158945.21465562
2014-02-11,38.1532,38.5993,38.032,38.5685,149612.5500046
2014-02-12,38.5764,38.7294,38.49,38.5714,125257.62728141
2014-02-13,38.3777,38.939,38.3777,38.8983,48058.542023964
2014-02-14,38.9748,39.1784,38.8983,39.1178,80882.422541243
2014-02-18,39.3721,39.535,39.2956,39.4645,291346.03990528
2014-02-19,39.3175,39.6314,39.234,39.234,268511.16071817
2014-02-20,39.3175,39.6185,39.234,39.5509,44478.889829054
2014-02-21,39.7069,39.7953,39.5678,39.5807,97838.457853693
2014-02-24,39.7685,40.1043,39.7685,39.8797,100686.27451832
2014-02-25,39.9463,40.0864,39.7864,39.8718,271621.71338473
2014-02-26,39.9334,40.0367,39.7953,39.8797,106899.32664064
2014-02-27,39.8639,40.0903,39.7953,40.0665,307001.48167559
2014-02-28,40.0407,40.4092,39.8897,40.1152,194117.61276871
2014-03-03,39.6095,39.8311,39.3304,39.4963,218400.05659482
2014-03-04,40.1122,40.3655,40.1082,40.3198,151467.8084397
2014-03-05,40.3198,40.3198,40.1619,40.2115,109932.36715337
2014-03-06,40.4976,40.5225,40.0496,40.137,154273.34574769
2014-03-07,40.2245,40.2572,39.7248,39.9334,144535.00060327
2014-03-10,39.986,40.0367,39.7993,40.0228,67076.199297937
2014-03-11,40.1152,40.2026,39.8599,39.9244,133901.74241012
2014-03-12,39.7337,39.8758,39.6185,39.846,271294.5516965
2014-03-13,39.8251,39.9294,39.1973,39.2698,99341.388316854
2014-03-14,39.2052,39.3483,39.1089,39.1178,113114.39206566
2014-03-17,39.2569,39.6384,39.2569,39.4605,175167.40113508
2014-03-18,39.6235,39.9334,39.6235,39.8718,215933.76079124
2014-03-19,39.9562,40.0496,39.5003,39.6999,249789.45894063
2014-03-20,39.6314,39.6423,39.4218,39.6384,121842.05925629
2014-03-21,39.9155,40.0009,39.1357,39.1655,105538.3340176
2014-03-24,39.4605,39.4605,38.49,38.8099,165566.96722539
2014-03-25,39.0403,39.3056,38.8049,39.0771,239809.51747259
2014-03-26,39.3801,39.4526,39.096,39.096,59281.697907276
2014-03-27,39.2569,39.2569,38.8983,39.0999,70091.120086395
2014-03-28,39.2152,39.5271,38.9648,39.0483,84487.241019864
2014-03-31,39.4129,39.5042,39.2738,39.4824,145142.01136636
2014-04-01,39.5172,39.7288,39.3582,39.5231,351185.42265957
2014-04-02,39.535,39.6642,39.4963,39.6145,84650.318538304
2014-04-03,39.6235,39.7377,39.3672,39.4963,93477.644212424
2014-04-04,39.5092,39.7248,38.9569,39.0115,283871.65364341
2014-04-07,38.8854,39.1089,38.4771,38.64,95459.740717424
2014-04-08,38.646,38.6767,38.2377,38.4294,88779.602369441
2014-04-09,38.481,39.086,38.481,39.086,127538.69923689
2014-04-10,39.1585,39.1585,38.0092,38.1532,114398.87918622
2014-04-11,37.7251,38.1612,37.6238,37.6456,144059.86116683
2014-04-14,37.8701,38.042,37.5065,37.8572,112409.73612178
2014-04-15,37.885,38.1075,37.4171,38.1026,76983.66186889
2014-04-16,38.3688,38.3827,38.1661,38.3827,53817.594388161
2014-04-17,38.4145,38.5635,38.2158,38.4771,119932.44164838
2014-04-21,38.4771,38.8099,38.4771,38.8049,335614.53960251
2014-04-22,39.3334,39.4556,39.1446,39.3622,245892.71157097
2014-04-23,39.3523,39.535,39.096,39.2102,87433.70951663
2014-04-24,39.4427,39.4427,38.8188,39.1148,292658.71326359
2014-04-25,39.0155,39.0542,38.8238,38.9191,63537.819808311
2014-04-28,39.4039,39.5271,38.8417,39.2529,115667.25988521
2014-04-29,39.3334,39.5589,39.2738,39.4774,75802.859837217
2014-04-30,39.5003,39.6423,39.3989,39.5907,383647.91534277
2014-05-01,39.7456,39.8837,39.5003,39.8311,660580.72124165
2014-05-02,39.8132,39.8758,39.4526,39.5718,162694.99092841
2014-05-05,39.1824,39.7208,39.1824,39.6731,33522.496553068
2014-05-06,39.6314,39.6314,39.388,39.4327,24682.08441142
2014-05-07,39.5172,39.5172,39.1148,39.4695,827257.01825298
2014-05-08,39.5172,39.6513,39.2698,39.2837,90946.922722546
2014-05-09,39.395,39.4963,39.1268,39.4427,72093.349618363
2014-05-12,39.5132,39.7953,39.4774,39.7953,126447.48917522
2014-05-13,39.8837,39.9066,39.7456,39.8182,48496.435360518
2014-05-14,39.8092,39.9821,39.7496,39.8509,60871.2003864
2014-05-15,39.7158,39.7913,39.5638,39.69,331529.54843071
2014-05-16,39.8132,39.9066,39.6145,39.8718,162556.07304233
2014-05-19,39.7248,39.8927,39.6691,39.8897,474668.32361375
2014-05-20,39.8311,39.8797,39.5172,39.6235,60078.965775209
2014-05-21,39.8182,39.99,39.8182,39.9384,51522.429313809
2014-05-22,39.986,40.2245,39.9066,40.137,422001.33171681
2014-05-23,40.1579,40.2284,40.0188,40.146,56571.792477383
2014-05-27,40.3844,40.4281,40.2115,40.3615,111092.02950673
2014-05-28,40.2801,40.3158,40.1241,40.1748,252036.30475026
2014-05-29,40.3367,40.438,40.2662,40.438,88007.500785218
2014-05-30,40.3417,40.4976,40.2761,40.4798,394143.26230119
2014-06-02,40.5364,40.5453,40.2841,40.5096,172407.16313777
2014-06-03,40.4877,40.5612,40.4331,40.5612,89845.646147397
2014-06-04,40.3784,40.5652,40.3784,40.5582,2165857.688696
2014-06-05,40.7013,40.7569,40.4241,40.6973,76621.267383466
2014-06-06,40.8483,40.8483,40.5751,40.6089,149561.21078583
2014-06-09,40.6615,40.6884,40.4331,40.4748,54465.87785653
2014-06-10,40.5582,40.6655,40.4043,40.6397,90027.850041457
2014-06-11,40.6308,40.6536,40.4976,40.6218,48540.728019848
2014-06-12,40.6933,40.6933,40.4142,40.4877,75929.697907115
2014-06-13,40.4976,40.5135,40.3466,40.4549,123861.40186118
2014-06-16,40.6357,40.7351,40.4241,40.5711,91153.286248968
2014-06-17,40.6139,40.6268,40.4748,40.5364,60146.411415552
2014-06-18,40.6735,40.8384,40.4748,40.8384,66416.842664735
2014-06-19,40.9645,40.9735,40.8712,40.9476,52923.687990782
2014-06-20,41.1245,41.3112,41.0688,41.2725,256380.0053186
2014-06-23,41.2049,41.2924,41.0122,41.1066,332316.74978516
2014-06-24,41.1811,41.3241,41.0182,41.0669,82428.639012386
2014-06-25,41.0182,41.3827,41.0182,41.3728,98709.211270059
2014-06-26,41.3599,41.4692,41.0669,41.3341,124892.21284194
2014-06-27,41.3957,41.4116,41.2208,41.343,111614.48155655
2014-06-30,41.2675,41.4761,41.2496,41.3241,659175.43595929
2014-07-01,41.4384,41.8367,41.3599,41.798,236955.66089988
2014-07-02,41.8208,41.9689,41.7523,41.9689,157274.17341727
2014-07-03,42.0483,42.1993,41.9063,42.1129,104741.06614967
2014-07-07,41.948,42.0344,41.7245,41.7612,115727.65896611
2014-07-08,41.6847,41.7573,41.3162,41.4692,99913.166282745
2014-07-09,41.5397,41.6261,41.2884,41.5804,80416.342966934
2014-07-10,41.2129,41.5039,41.0698,41.4761,53171.324222488
2014-07-11,41.4523,41.5665,41.2884,41.499,119248.92538281
2014-07-14,41.8556,41.8556,41.6579,41.7324,60200.770588365
2014-07-15,41.8159,41.8318,41.343,41.4692,63807.602369682
2014-07-16,41.5665,41.7245,41.2496,41.3688,182567.29519717
2014-07-17,41.2288,41.4205,40.8483,40.8781,161922.88934419
2014-07-18,40.9735,41.4652,40.9168,41.4563,111107.12927695
2014-07-21,41.3301,41.3301,41.1165,41.2496,119345.56391226
2014-07-22,41.4304,41.6708,41.3559,41.5188,159663.96371838
2014-07-23,41.5884,41.7245,41.5804,41.6669,78437.26641598
2014-07-24,41.643,41.7712,41.5308,41.6212,146633.86866469
2014-07-25,41.5308,41.5308,41.2069,41.3827,120979.35905071
2014-07-28,41.4563,41.491,41.2288,41.4384,113938.83952
2014-07-29,41.4861,41.5844,41.351,41.351,81035.4335462
2014-07-30,41.6261,41.7662,41.4116,41.6261,64647.149594248
2014-07-31,41.3957,41.3957,40.892,40.9049,266690.12842892
2014-08-01,40.9089,41.0519,40.6327,40.8523,120717.62970013
2014-08-04,40.9735,41.1215,40.743,41.0589,49706.430281295
2014-08-05,40.9864,41.0281,40.6099,40.7122,74587.831659698
2014-08-06,40.3635,40.7033,40.2513,40.598,81300.182850829
2014-08-07,40.5751,40.5751,39.989,40.0903,97142.861771948
2014-08-08,40.1152,40.4788,39.9592,40.4619,63757.269802262
2014-08-11,40.598,40.6854,40.45,40.4589,49552.41262499
2014-08-12,40.436,40.4748,40.3228,40.45,76516.575643232
2014-08-13,40.5056,40.8334,40.5056,40.7768,45743.243922644
2014-08-14,40.9268,41.3063,40.8702,41.3063,53326.348530142
2014-08-15,41.5804,41.5804,40.892,41.2457,54540.370056312
2014-08-18,41.5347,41.639,41.4761,41.6212,173560.78558304
2014-08-19,41.7106,41.8695,41.5715,41.8238,60385.994436471
2014-08-20,41.7493,41.8854,41.6758,41.8556,52568.340064796
2014-08-21,41.9599,42.0523,41.9152,41.9152,77165.86576295
2014-08-22,41.9599,42.0255,41.8367,41.948,34994.220824429
2014-08-25,42.1268,42.3155,42.0622,42.2271,104045.47006793
2014-08-26,42.2808,42.4626,42.2808,42.399,47656.888135953
2014-08-27,42.4626,42.4993,42.3632,42.4069,61965.43040211
2014-08-28,42.2768,42.4536,42.2768,42.4169,66185.312854603
2014-08-29,42.4576,42.5808,42.3851,42.5679,810489.22674269
2014-09-02,42.6444,42.696,42.5043,42.6612,63791.495948108
2014-09-03,42.7884,42.9275,42.7606,42.8629,86989.776271986
2014-09-04,42.8063,42.8758,42.4576,42.5679,56474.147296588
2014-09-05,42.5073,42.7,42.1993,42.6831,90060.062884606
2014-09-08,42.548,42.696,42.4914,42.6672,58997.822227027
2014-09-09,42.6165,42.7427,42.4914,42.5718,28399.647841061
2014-09-10,42.6831,42.9314,42.5977,42.8808,48839.703470323
2014-09-11,42.7298,42.8758,42.6245,42.845,34714.371749574
2014-09-12,42.845,42.845,42.5718,42.696,195517.86479434
2014-09-15,42.6483,42.7089,42.4775,42.5808,108758.61168114
2014-09-16,42.5172,43.0854,42.5172,43.0546,121022.64505869
2014-09-17,43.0795,43.2056,42.9275,43.0626,128094.3707812
2014-09-18,43.2473,43.4182,43.2225,43.4142,86145.195790678
2014-09-19,43.4758,43.5364,43.3318,43.3964,68803.613011792
2014-09-22,43.4182,43.4311,43.1202,43.2513,56777.149352457
2014-09-23,42.8848,43.0626,42.7606,42.9275,150197.41443802
2014-09-24,43.0427,43.5166,42.9801,43.4758,82871.565605682
2014-09-25,43.4758,43.4848,42.8848,42.9056,49495.033498131
2014-09-26,42.9712,43.1291,42.7377,43.0626,92168.997459504
2014-09-29,42.7258,43.0308,42.7129,42.9493,46507.29229608
2014-09-30,42.9593,43.0934,42.7656,42.8023,362514.27693446
2014-10-01,42.7656,42.7934,42.2927,42.4199,103517.98476137
2014-10-02,42.3712,42.548,41.8993,42.2808,215624.71882728
2014-10-03,42.39,42.7934,42.39,42.704,205366.94158708
2014-10-06,42.9314,43.0179,42.4953,42.6861,88672.897326511
2014-10-07,42.3811,42.3811,41.9013,41.9112,147500.59547566
2014-10-08,41.8854,42.7934,41.7712,42.7884,716674.35432855
2014-10-09,42.5579,42.696,41.8238,41.8556,216325.34816577
2014-10-10,42.0563,42.0622,41.495,41.5039,160816.57951229
2014-10-13,41.6122,41.648,40.7768,40.7768,325710.09698561
