Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-05-08,52.1941,52.6116,52.1941,52.5858,8457.1847217328
2013-05-09,52.3801,52.6966,52.3801,52.3801,7758.65320814
2013-05-10,52.3801,52.5077,52.2268,52.5077,16806.2032033
2013-05-13,52.5611,52.5779,52.2871,52.5166,17572.464979426
2013-05-14,52.3296,52.9271,52.3296,52.9083,23724.798976135
2013-05-15,52.57,53.0468,52.57,53.0112,3892.9737465208
2013-05-16,52.9083,53.1141,52.8341,52.8826,21522.049094632
2013-05-17,52.9756,53.396,52.936,53.396,17338.947208602
2013-05-20,53.5474,53.7027,53.396,53.676,12174.261965554
2013-05-21,53.8639,54.0578,53.7106,53.9648,17770.601269823
2013-05-22,54.1112,54.5297,53.3258,53.396,56566.900008846
2013-05-23,52.4998,52.9271,52.2347,52.9271,12977.92702099
2013-05-24,52.4741,52.6116,52.3633,52.5354,10362.730167641
2013-05-28,53.1141,53.2338,52.6877,52.7906,16565.60913639
2013-05-29,52.4671,52.5453,52.2782,52.5107,27478.268599826
2013-05-30,52.4305,52.9855,52.4305,52.851,241429.0698485
2013-05-31,52.389,52.6729,51.9982,51.9982,178267.06188788
2013-06-03,52.1565,52.4592,51.9715,52.4157,399990.66893686
2013-06-04,52.3563,52.4929,51.8736,52.1743,32504.460619483
2013-06-05,51.8815,51.8815,51.2356,51.2435,7551.418822776
2013-06-06,51.1485,51.4848,50.9408,51.4848,24249.45578591
2013-06-07,51.742,52.3049,51.5788,52.2871,13609.73917149
2013-06-10,52.3801,52.3801,52.1318,52.1852,18291.214481835
2013-06-11,51.564,51.8964,51.4156,51.7252,9004.0813192056
2013-06-12,52.0022,52.0022,51.4097,51.4858,57140.079991779
2013-06-13,51.3325,52.2871,51.3325,52.2871,11178.526016366
2013-06-14,51.7964,52.1545,51.5887,51.7707,95173.149652998
2013-06-17,52.2693,52.5354,52.0111,52.2446,198158.5301845
2013-06-18,52.3128,52.8717,52.3128,52.751,22239.7876976
2013-06-19,52.8806,52.8965,51.8736,51.9063,36447.979338044
2013-06-20,51.0338,51.1485,50.4165,50.5916,8083.1519286368
2013-06-21,51.1327,51.1327,50.3037,50.8814,14980.518813215
2013-06-24,49.728,50.0376,49.3471,49.8813,24510.267841637
2013-06-25,50.095,50.4422,49.8289,50.3463,10319.261491686
