Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-05-08,11.0237,11.0995,11.0018,11.0915,130360.72789049
2013-05-09,11.0895,11.1373,11.0466,11.0546,121179.13695398
2013-05-10,11.0437,11.0825,11.0277,11.0825,403111.88424594
2013-05-13,11.0915,11.0915,11.0496,11.0626,119214.16208748
2013-05-14,11.0745,11.1373,11.0745,11.1025,218758.50426507
2013-05-15,11.0736,11.1453,11.0736,11.1453,231991.47596567
2013-05-16,11.1503,11.2459,11.1503,11.1762,303638.79498741
2013-05-17,11.223,11.2938,11.1981,11.2918,1565431.649588
2013-05-20,11.2848,11.3346,11.2649,11.2908,411689.33071379
2013-05-21,11.2848,11.3286,11.2509,11.2948,1263962.5561641
2013-05-22,11.3276,11.3815,11.1363,11.1732,370433.8905773
2013-05-23,11.0317,11.1483,10.9759,11.1184,632963.7655153
2013-05-24,11.0207,11.0955,11.0028,11.0955,244872.19731992
2013-05-28,11.2111,11.2479,11.1393,11.1543,270410.84921108
2013-05-29,11.1034,11.1692,11.0706,11.1503,107505.6014299
2013-05-30,11.1503,11.2718,11.1503,11.237,228116.72215587
2013-05-31,11.1812,11.2459,11.0965,11.0965,357165.79419829
2013-06-03,11.1453,11.1612,11.0606,11.1403,852527.12669709
2013-06-04,11.1951,11.2459,11.1034,11.1413,146657.57511072
2013-06-05,11.0566,11.0935,10.9809,10.9968,97749.972891941
2013-06-06,11.0168,11.0367,10.9091,11.0138,75716.763906154
2013-06-07,11.0197,11.1074,10.9899,11.1054,103426.12092308
2013-06-10,11.1114,11.1622,11.1025,11.1114,90670.844848865
2013-06-11,10.9889,11.0686,10.9629,10.9709,65464.37205925
2013-06-12,11.0566,11.0606,10.8932,10.9111,406726.7154355
2013-06-13,10.9032,11.0397,10.8643,11.0207,417795.00338377
2013-06-14,10.9819,11.0257,10.9002,10.9261,183228.38670949
2013-06-17,11.0337,11.0975,11.0088,11.0437,161763.19395172
2013-06-18,11.0596,11.1483,11.0596,11.1244,707222.35348629
2013-06-19,11.1294,11.1483,10.9998,10.9998,144548.08728161
2013-06-20,10.8982,10.8982,10.7009,10.7358,195306.2582715
2013-06-21,10.7328,10.7786,10.5963,10.681,407354.94539793
2013-06-24,10.5664,10.5733,10.4259,10.5026,734932.71406546
2013-06-25,10.6152,10.6212,10.5454,10.6202,80098.316647304
2013-06-26,10.6829,10.6829,10.6182,10.6491,100910.19038665
2013-06-27,10.7288,10.7746,10.7168,10.7457,559242.08334286
2013-06-28,10.678,10.7348,10.6202,10.6839,348756.94618682
2013-07-01,10.7916,10.8334,10.7627,10.7766,949302.6406537
2013-07-02,10.7836,10.8553,10.7228,10.7886,196962.135968
2013-07-03,10.7437,10.8683,10.7228,10.8324,96196.458543956
2013-07-05,10.8334,10.8862,10.7806,10.8723,152121.97150915
2013-07-08,10.9151,10.9181,10.8274,10.8523,149178.52345835
2013-07-09,10.8902,10.9291,10.8543,10.9071,135535.09480148
2013-07-10,10.8862,10.9819,10.8862,10.962,151220.77261737
2013-07-11,11.0955,11.1911,11.0955,11.1911,165438.2388757
2013-07-12,11.1891,11.1911,11.1503,11.1832,441085.67585666
2013-07-15,11.224,11.2569,11.1871,11.2429,225178.29191627
2013-07-16,11.217,11.2429,11.2061,11.231,164000.13418535
2013-07-17,11.2519,11.2828,11.237,11.2549,115848.21433351
2013-07-18,11.237,11.2679,11.1941,11.2141,75051.402140836
2013-07-19,11.0835,11.0835,10.9839,11.0028,190246.29745591
2013-07-22,11.0277,11.0476,11.0078,11.0347,81834.479323023
2013-07-23,11.0556,11.0825,11.0058,11.0058,91432.548589252
2013-07-24,11.1154,11.1373,11.0686,11.0835,66473.955672991
2013-07-25,11.0765,11.1005,11.0397,11.1005,102120.48644845
2013-07-26,11.0237,11.0775,11.0028,11.0736,76920.035032274
2013-07-29,11.0197,11.0765,11.0178,11.0307,153366.38868713
2013-07-30,11.0915,11.1403,11.0835,11.1124,119328.56818287
2013-07-31,11.1034,11.1523,11.0716,11.0745,135076.46685766
2013-08-01,11.1523,11.1842,11.1373,11.1722,2626652.5548422
2013-08-02,11.1722,11.228,11.1682,11.228,150466.09381266
2013-08-05,11.238,11.2679,11.215,11.2649,96716.303784432
2013-08-06,11.231,11.237,11.1911,11.2091,59504.215914108
2013-08-07,11.1632,11.1862,11.1144,11.1642,485477.24799409
2013-08-08,11.215,11.223,11.1493,11.2041,55811.106869804
2013-08-09,11.1911,11.2081,11.1274,11.1563,177292.31605812
2013-08-12,11.1413,11.235,11.1413,11.226,354155.10747739
2013-08-13,11.2589,11.3585,11.22,11.3336,150132.91114888
2013-08-14,11.3366,11.3665,11.3167,11.3456,150664.79913624
2013-08-15,11.1602,11.1891,11.1343,11.1602,505938.87851156
2013-08-16,11.1543,11.218,11.1463,11.1682,154141.13873664
2013-08-19,11.1443,11.2429,11.1304,11.1304,161618.68098911
2013-08-20,11.1632,11.1782,11.1204,11.1403,44012.225610597
2013-08-21,11.1433,11.1832,11.0835,11.0955,81095.857514162
2013-08-22,11.1403,11.1662,11.1224,11.1543,198266.76688039
2013-08-23,11.22,11.2599,11.22,11.2519,358127.2068245
2013-08-26,11.229,11.2878,11.2061,11.2061,61426.037604282
2013-08-27,11.0765,11.1274,10.9719,10.9998,436381.97963637
2013-08-28,11.0397,11.0765,11.0197,11.0197,69025.010887834
2013-08-29,11.0855,11.1294,11.0706,11.0745,61529.404515033
2013-08-30,11.0745,11.0745,10.9809,11.0118,314520.42035898
2013-09-03,11.1483,11.1662,11.0516,11.0775,373057.20227344
2013-09-04,11.1503,11.22,11.1234,11.2031,309248.70791069
2013-09-05,11.234,11.238,11.1981,11.218,325153.16229496
2013-09-06,11.2519,11.2848,11.1632,11.242,90436.011284635
2013-09-09,11.3247,11.4054,11.3217,11.3984,316084.97389161
2013-09-10,11.4691,11.4941,11.4442,11.4652,121408.95270701
2013-09-11,11.3605,11.4333,11.3595,11.4143,228872.40452282
2013-09-12,11.4293,11.4542,11.3974,11.4014,425997.11757375
2013-09-13,11.4263,11.4293,11.3864,11.4203,91638.278848514
2013-09-16,11.509,11.509,11.4084,11.4203,56222.567388327
2013-09-17,11.4343,11.4781,11.4343,11.4771,102712.58817022
2013-09-18,11.5399,11.6635,11.4901,11.6635,128934.66594702
2013-09-19,11.7222,11.7222,11.6405,11.6635,191744.61588068
2013-09-20,11.6804,11.6804,11.5768,11.5768,80159.533943962
2013-09-23,11.6077,11.6545,11.5558,11.5987,313486.75125147
2013-09-24,11.6126,11.6216,11.5429,11.5598,265123.07976693
2013-09-25,11.5907,11.5967,11.519,11.5479,72077.847222827
2013-09-26,11.5927,11.6236,11.5509,11.5768,133527.97032088
2013-09-27,11.5349,11.5509,11.498,11.511,182714.56284246
2013-09-30,11.4502,11.4831,11.4034,11.4542,130228.25767477
2013-10-01,11.503,11.5708,11.4492,11.5678,78334.054228857
2013-10-02,11.522,11.5857,11.508,11.5768,233139.55116857
2013-10-03,11.5857,11.5907,11.4233,11.4851,73926.408869459
2013-10-04,11.4781,11.5379,11.4771,11.5309,165396.0892616
2013-10-07,11.4622,11.516,11.4522,11.4542,80189.640811171
2013-10-08,11.5,11.5,11.2768,11.2908,104072.41500583
2013-10-09,11.3605,11.3605,11.2111,11.3017,1590063.0812139
2013-10-10,11.4034,11.516,11.4034,11.497,329637.07838462
2013-10-11,11.4881,11.5997,11.4881,11.5877,197288.2936961
2013-10-14,11.5379,11.6545,11.511,11.6236,51253.930736602
2013-10-15,11.6316,11.6605,11.5708,11.5708,136508.55017457
2013-10-16,11.6316,11.6824,11.6246,11.6635,89800.756386525
2013-10-17,11.6216,11.6784,11.5768,11.6625,237726.83416898
2013-10-18,11.792,11.8617,11.7342,11.8378,233720.61370571
2013-10-21,11.9315,11.9315,11.8797,11.8956,98940.197708937
2013-10-22,11.9993,11.9993,11.8757,11.9006,544497.74690837
2013-10-23,11.8378,11.8697,11.7621,11.804,439373.5986747
2013-10-24,11.8418,11.8867,11.8328,11.8607,126449.84584004
2013-10-25,11.9305,11.9484,11.8757,11.8996,107971.2543094
2013-10-28,11.9315,11.9624,11.8877,11.9464,1616897.3319573
2013-10-29,11.9963,12.0421,11.9743,12.0182,174234.46191192
2013-10-30,12.0341,12.067,11.9484,11.9943,304287.09619464
2013-10-31,11.9933,12.0311,11.9544,11.9773,149607.04453496
2013-11-01,11.9604,12.0232,11.9405,11.9853,1059081.3105579
2013-11-04,11.9963,12.0082,11.9743,12.0052,101854.54245477
2013-11-05,11.9773,12.0192,11.9395,11.9943,254936.92302789
2013-11-06,12.0421,12.1079,12.0411,12.1059,162319.16743284
2013-11-07,12.082,12.1039,11.9345,11.9395,305851.64972727
2013-11-08,11.9395,12.0441,11.9225,12.0361,224670.48942268
2013-11-11,12.0311,12.076,12.0232,12.0531,100052.14467119
2013-11-12,12.0541,12.1099,12.0541,12.0929,115225.00218228
2013-11-13,12.0003,12.1916,12.0003,12.1876,560722.3376473
2013-11-14,12.1069,12.1796,12.1069,12.1687,106465.91094895
2013-11-15,12.2035,12.2414,12.1966,12.2284,164724.70612284
2013-11-18,12.2563,12.2653,12.1587,12.1617,144094.47714899
2013-11-19,12.2035,12.2035,12.1218,12.1278,87938.144868528
2013-11-20,12.1328,12.1936,12.061,12.083,175872.27548809
2013-11-21,12.1617,12.1906,12.0929,12.1846,79040.562046028
2013-11-22,12.1886,12.1995,12.1647,12.1796,51742.665547628
2013-11-25,12.2284,12.2284,12.1766,12.1936,60924.256484132
2013-11-26,12.1995,12.2813,12.1995,12.2534,196520.56858227
2013-11-27,12.3251,12.36,12.2982,12.36,608578.20663825
2013-11-29,12.4337,12.4516,12.4018,12.4237,327510.52999742
2013-12-02,12.4536,12.4536,12.338,12.344,2200311.21542
2013-12-03,12.3351,12.3948,12.3331,12.3809,68226.175344555
2013-12-04,12.344,12.4138,12.3012,12.3729,126473.93133381
2013-12-05,12.4387,12.4387,12.3191,12.345,120011.99406852
2013-12-06,12.4347,12.4706,12.3998,12.4536,477275.13380411
2013-12-09,12.4965,12.5184,12.4805,12.4865,147371.10786357
2013-12-10,12.4686,12.4746,12.4287,12.4566,100348.19553208
2013-12-11,12.4865,12.4865,12.3301,12.3351,498896.88227138
2013-12-12,12.361,12.361,12.2454,12.2454,940084.92147654
2013-12-13,12.2643,12.2653,12.2105,12.2245,209214.62735982
2013-12-16,12.2882,12.357,12.2763,12.3301,345843.60500322
2013-12-17,12.355,12.363,12.2992,12.3311,552961.79084306
2013-12-18,12.3341,12.4237,12.2125,12.4237,272195.18287433
2013-12-19,12.4666,12.4756,12.4118,12.4457,329184.47181424
2013-12-20,12.4706,12.5732,12.4706,12.5543,281920.70454508
2013-12-23,12.6828,12.7227,12.6549,12.7227,333905.22859262
2013-12-24,12.7227,12.7316,12.7037,12.7277,156178.37008445
2013-12-26,12.7536,12.7745,12.7326,12.7476,142662.39383209
2013-12-27,12.8283,12.8283,12.7526,12.7576,273802.88958329
2013-12-30,12.7605,12.7665,12.7267,12.7506,273778.80408952
2013-12-31,12.7745,12.8223,12.7506,12.8223,140921.21334517
2014-01-02,12.7316,12.7316,12.639,12.6659,1501713.4758268
2014-01-03,12.6968,12.6968,12.5921,12.6151,277428.75995749
2014-01-06,12.6161,12.62,12.5463,12.5842,179644.66594938
2014-01-07,12.6081,12.6858,12.5931,12.6689,517453.75165677
