Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2013-05-08,1452.18,1476.24,1447.59,1473.7
2013-05-09,1473.68,1475.51,1453.5,1457.77
2013-05-10,1457.7,1462.06,1419.81,1447.22
2013-05-13,1443.9,1448.37,1426.3,1430.4
2013-05-14,1430.3,1445.08,1421.5,1425.1
2013-05-15,1425.16,1430.54,1389.44,1392.6
2013-05-16,1392.6,1397.97,1369.89,1385.84
2013-05-17,1385.56,1392.77,1355.3,1359.62
2013-05-20,1359.63,1398.96,1338.62,1393.55
2013-05-21,1392.96,1401.24,1359.72,1376.03
2013-05-22,1375.72,1412.87,1354.84,1369.68
2013-05-23,1369.92,1397.57,1356.77,1390.73
2013-05-24,1390.79,1398.02,1382.32,1386.33
2013-05-28,1394.55,1401.16,1373.71,1380.94
2013-05-29,1380.98,1395.03,1380.1,1392.48
2013-05-30,1392.45,1417.79,1388.86,1413.78
2013-05-31,1413.93,1421.68,1384.65,1387.57
2013-06-03,1387.74,1416.71,1387.71,1411.14
2013-06-04,1411.1,1414.89,1389.18,1399.17
2013-06-05,1399.12,1410.21,1395.71,1403.12
2013-06-06,1403.3,1423.62,1391.7,1413.66
2013-06-07,1413.71,1417.68,1377.82,1384.08
2013-06-10,1382.8,1388.85,1375.97,1386.21
2013-06-11,1386.23,1387.35,1366.35,1378.04
2013-06-12,1378.21,1394.33,1373.97,1388.74
2013-06-13,1388.71,1394.73,1374.55,1385.86
2013-06-14,1385.78,1392.14,1378.24,1390.38
2013-06-17,1390.4,1391.8,1380.65,1385
2013-06-18,1385.28,1385.81,1361.01,1367.32
2013-06-19,1367.32,1375.99,1349.12,1351.14
2013-06-20,1351.11,1351.28,1276.37,1284.46
2013-06-21,1280.08,1302.29,1269.37,1296.12
2013-06-24,1294,1301.29,1276.2,1282.14
2013-06-25,1282.25,1289.3,1271.65,1277.44
2013-06-26,1277.45,1277.82,1221.98,1226.33
2013-06-28,1200,1235.06,1180.64,1234.26
2013-07-01,1232.8,1261.28,1225.23,1252.05
2013-07-02,1252.15,1267.21,1239.51,1243.23
2013-07-03,1243.31,1259.86,1236.7,1252.6
2013-07-05,1249.88,1250.44,1208.2,1222.98
2013-07-08,1221.81,1238.38,1215.66,1236.73
2013-07-09,1236.45,1260.19,1233.53,1251.04
2013-07-10,1251.2,1265.58,1243.96,1259.46
2013-07-11,1259.83,1298.65,1257.65,1285.69
2013-07-12,1284.74,1288.47,1267.81,1285.2
2013-07-15,1284.6,1294.42,1274.49,1284.34
2013-07-16,1284.3,1295.36,1277.12,1291.75
2013-07-17,1291.89,1299.59,1270.2,1275.7
