Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2013-05-08,130.2,130.2,130.2,130.2
2013-05-09,130.2,130.2,130.2,130.2
2013-05-10,129.6,129.6,129.6,129.6
2013-05-13,129.4,129.4,129.4,129.4
2013-05-14,128.1,128.1,128.1,128.1
2013-05-15,126.4,126.4,126.4,126.4
2013-05-16,125,125,125,125
2013-05-17,123.1,123.1,123.1,123.1
2013-05-20,123,123,123,123
2013-05-21,123.6,123.6,123.6,123.6
2013-05-22,123.2,123.2,123.2,123.2
2013-05-23,123.2,123.2,123.2,123.2
2013-05-24,123.2,123.2,123.2,123.2
2013-05-28,117.8,117.8,117.8,117.8
2013-05-29,112.9,112.9,112.9,112.9
2013-05-30,111.6,111.6,111.6,111.6
2013-05-31,110.4,110.4,110.4,110.4
2013-06-03,111.9,111.9,111.9,111.9
2013-06-04,116.6,116.6,116.6,116.6
2013-06-05,116.6,116.6,116.6,116.6
2013-06-06,113.9,113.9,113.9,113.9
2013-06-10,110.9,110.9,110.9,110.9
2013-06-11,110.9,110.9,110.9,110.9
2013-06-12,110.9,110.9,110.9,110.9
2013-06-13,112,112,112,112
2013-06-14,113.6,113.6,113.6,113.6
2013-06-17,115,115,115,115
2013-06-18,117.7,117.7,117.7,117.7
2013-06-19,120,120,120,120
2013-06-20,120.6,120.6,120.6,120.6
2013-06-21,118.6,118.6,118.6,118.6
2013-06-24,116.6,116.6,116.6,116.6
2013-06-25,114,114,114,114
2013-06-26,113.8,113.8,113.8,113.8
2013-06-27,115.3,115.3,115.3,115.3
2013-06-28,116.5,116.5,116.5,116.5
2013-07-02,119.3,119.3,119.3,119.3
2013-07-03,120.5,120.5,120.5,120.5
2013-07-05,122.6,122.6,122.6,122.6
2013-07-08,121.9,121.9,121.9,121.9
2013-07-09,123.7,123.7,123.7,123.7
2013-07-10,123.9,123.9,123.9,123.9
2013-07-11,125.2,125.2,125.2,125.2
2013-07-12,126.8,126.8,126.8,126.8
2013-07-15,126.9,126.9,126.9,126.9
2013-07-16,129,129,129,129
2013-07-17,130.4,130.4,130.4,130.4
2013-07-18,131.9,131.9,131.9,131.9
2013-07-19,131.7,131.7,131.7,131.7
2013-07-22,131.5,131.5,131.5,131.5
2013-07-23,131.9,131.9,131.9,131.9
2013-07-24,132.1,132.1,132.1,132.1
2013-07-25,132.1,132.1,132.1,132.1
2013-07-26,132.6,132.6,132.6,132.6
2013-07-29,131.7,131.7,131.7,131.7
2013-07-30,130.9,130.9,130.9,130.9
2013-07-31,129.9,129.9,129.9,129.9
2013-08-01,129.7,129.7,129.7,129.7
2013-08-02,130.1,130.1,130.1,130.1
2013-08-05,130.2,130.2,130.2,130.2
2013-08-06,131.4,131.4,131.4,131.4
2013-08-07,133.1,133.1,133.1,133.1
2013-08-08,133.1,133.1,133.1,133.1
2013-08-09,133.1,133.1,133.1,133.1
2013-08-12,138.7,138.7,138.7,138.7
2013-08-13,141.8,141.8,141.8,141.8
2013-08-14,142.8,142.8,142.8,142.8
2013-08-15,141.2,141.2,141.2,141.2
2013-08-16,137.9,137.9,137.9,137.9
2013-08-19,139.2,139.2,139.2,139.2
2013-08-20,139,139,139,139
2013-08-21,137.8,137.8,137.8,137.8
2013-08-22,137.7,137.7,137.7,137.7
2013-08-23,138.6,138.6,138.6,138.6
2013-08-26,138.7,138.7,138.7,138.7
2013-08-27,138.7,138.7,138.7,138.7
2013-08-28,138.5,138.5,138.5,138.5
2013-08-29,138.3,138.3,138.3,138.3
2013-08-30,137.7,137.7,137.7,137.7
2013-09-03,138.7,138.7,138.7,138.7
2013-09-04,138,138,138,138
2013-09-05,137.1,137.1,137.1,137.1
2013-09-06,134.1,134.1,134.1,134.1
2013-09-09,134.8,134.8,134.8,134.8
2013-09-10,135.2,135.2,135.2,135.2
2013-09-11,135.1,135.1,135.1,135.1
2013-09-12,135.2,135.2,135.2,135.2
2013-09-13,134.5,134.5,134.5,134.5
2013-09-16,134.1,134.1,134.1,134.1
2013-09-17,131.1,131.1,131.1,131.1
2013-09-18,131.7,131.7,131.7,131.7
2013-09-19,131.8,131.8,131.8,131.8
2013-09-20,131.8,131.8,131.8,131.8
2013-09-23,132.4,132.4,132.4,132.4
2013-09-24,132.7,132.7,132.7,132.7
2013-09-25,133.8,133.8,133.8,133.8
2013-09-26,133.8,133.8,133.8,133.8
2013-09-27,131.9,131.9,131.9,131.9
2013-09-30,131.4,131.4,131.4,131.4
2013-10-01,131.4,131.4,131.4,131.4
2013-10-02,131.4,131.4,131.4,131.4
2013-10-03,131.4,131.4,131.4,131.4
2013-10-04,131.4,131.4,131.4,131.4
2013-10-07,131.4,131.4,131.4,131.4
2013-10-08,131.7,131.7,131.7,131.7
2013-10-09,131.8,131.8,131.8,131.8
2013-10-10,133,133,133,133
2013-10-11,133.1,133.1,133.1,133.1
2013-10-14,133.6,133.6,133.6,133.6
2013-10-15,133.6,133.6,133.6,133.6
2013-10-16,133.7,133.7,133.7,133.7
2013-10-17,134.4,134.4,134.4,134.4
2013-10-18,134.4,134.4,134.4,134.4
2013-10-21,134.4,134.4,134.4,134.4
2013-10-22,133.3,133.3,133.3,133.3
2013-10-23,133.2,133.2,133.2,133.2
2013-10-24,133.5,133.5,133.5,133.5
2013-10-25,133.3,133.3,133.3,133.3
2013-10-28,131.8,131.8,131.8,131.8
2013-10-29,131.3,131.3,131.3,131.3
2013-10-30,131.2,131.2,131.2,131.2
2013-10-31,131.9,131.9,131.9,131.9
2013-11-01,135.3,135.3,135.3,135.3
2013-11-04,135.8,135.8,135.8,135.8
2013-11-05,136.8,136.8,136.8,136.8
