Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2013-05-08,0.61,0.61,0.594,0.594
2013-05-09,0.598,0.602,0.587,0.597
2013-05-10,0.602,0.704,0.602,0.7
2013-05-13,0.725,0.803,0.725,0.78
2013-05-14,0.86,0.866,0.853,0.861
2013-05-15,0.862,0.912,0.825,0.874
2013-05-16,0.879,0.879,0.828,0.844
2013-05-17,0.849,0.849,0.8,0.806
2013-05-20,0.807,0.876,0.807,0.851
2013-05-21,0.849,0.895,0.849,0.886
2013-05-22,0.883,0.905,0.865,0.904
2013-05-23,0.895,1,0.833,0.836
2013-05-24,0.842,0.912,0.833,0.834
2013-05-27,0.846,0.846,0.821,0.835
2013-05-28,0.834,0.911,0.828,0.909
2013-05-29,0.908,0.962,0.908,0.942
2013-05-30,0.934,0.934,0.879,0.896
2013-05-31,0.895,0.895,0.856,0.867
2013-06-03,0.866,0.869,0.803,0.813
2013-06-04,0.814,0.88,0.814,0.88
2013-06-05,0.905,0.905,0.843,0.863
2013-06-06,0.864,0.875,0.831,0.841
2013-06-07,0.834,0.872,0.805,0.86
2013-06-10,0.851,0.851,0.829,0.841
2013-06-11,0.845,0.891,0.841,0.882
2013-06-12,0.891,0.904,0.855,0.883
2013-06-13,0.879,0.883,0.8,0.868
2013-06-14,0.857,0.883,0.82,0.82
2013-06-17,0.815,0.86,0.81,0.844
2013-06-18,0.843,0.854,0.821,0.828
2013-06-19,0.837,0.842,0.81,0.82
2013-06-20,0.815,0.859,0.815,0.841
2013-06-21,0.856,0.898,0.856,0.875
2013-06-24,0.885,0.899,0.871,0.889
2013-06-25,0.888,0.899,0.855,0.875
2013-06-26,0.855,0.886,0.855,0.871
2013-06-27,0.875,0.875,0.84,0.843
2013-06-28,0.846,0.86,0.835,0.853
2013-07-01,0.863,0.897,0.863,0.889
2013-07-02,0.892,0.9,0.883,0.896
2013-07-03,0.899,0.9,0.878,0.884
2013-07-04,0.88,0.881,0.859,0.866
2013-07-05,0.868,0.868,0.851,0.865
2013-07-08,0.864,0.894,0.864,0.887
2013-07-09,0.89,0.89,0.866,0.87
2013-07-10,0.87,0.875,0.853,0.854
2013-07-11,0.853,0.857,0.822,0.828
2013-07-12,0.832,0.835,0.82,0.821
2013-07-16,0.824,0.833,0.823,0.826
2013-07-17,0.829,0.831,0.819,0.819
2013-07-18,0.825,0.826,0.805,0.807
2013-07-19,0.806,0.821,0.806,0.812
2013-07-22,0.814,0.814,0.788,0.79
2013-07-23,0.794,0.794,0.772,0.784
2013-07-24,0.784,0.785,0.774,0.779
2013-07-25,0.78,0.809,0.78,0.802
2013-07-26,0.809,0.809,0.788,0.792
2013-07-29,0.796,0.801,0.781,0.798
2013-07-30,0.798,0.805,0.796,0.797
2013-07-31,0.796,0.804,0.792,0.797
2013-08-01,0.801,0.809,0.797,0.798
2013-08-02,0.799,0.828,0.799,0.812
2013-08-05,0.815,0.815,0.776,0.78
2013-08-06,0.78,0.79,0.778,0.787
2013-08-07,0.79,0.79,0.754,0.755
2013-08-08,0.759,0.783,0.757,0.761
2013-08-09,0.76,0.772,0.755,0.756
2013-08-12,0.76,0.762,0.749,0.75
2013-08-13,0.754,0.762,0.734,0.745
2013-08-14,0.746,0.758,0.746,0.755
2013-08-15,0.756,0.759,0.744,0.756
2013-08-16,0.746,0.768,0.746,0.758
2013-08-19,0.761,0.772,0.758,0.77
2013-08-20,0.766,0.777,0.744,0.748
2013-08-21,0.749,0.751,0.73,0.738
2013-08-22,0.735,0.76,0.735,0.751
2013-08-23,0.756,0.779,0.754,0.779
2013-08-26,0.771,0.771,0.763,0.77
2013-08-27,0.77,0.77,0.743,0.743
2013-08-28,0.743,0.743,0.718,0.72
2013-08-29,0.72,0.726,0.711,0.716
2013-08-30,0.714,0.724,0.708,0.724
2013-09-02,0.73,0.748,0.73,0.748
2013-09-03,0.747,0.772,0.741,0.77
2013-09-04,0.771,0.78,0.77,0.778
2013-09-05,0.782,0.785,0.78,0.781
2013-09-06,0.784,0.798,0.784,0.789
2013-09-09,0.789,0.797,0.754,0.754
2013-09-10,0.755,0.765,0.731,0.75
2013-09-11,0.746,0.756,0.738,0.738
2013-09-12,0.744,0.744,0.725,0.729
2013-09-13,0.734,0.737,0.725,0.725
2013-09-17,0.724,0.732,0.717,0.719
2013-09-18,0.719,0.729,0.712,0.712
2013-09-19,0.713,0.715,0.671,0.678
2013-09-20,0.682,0.702,0.674,0.696
2013-09-24,0.7,0.7,0.669,0.669
2013-09-25,0.675,0.685,0.665,0.676
2013-09-26,0.679,0.701,0.675,0.695
2013-09-27,0.7,0.7,0.684,0.685
2013-09-30,0.686,0.697,0.679,0.686
2013-10-01,0.692,0.695,0.661,0.668
2013-10-02,0.666,0.667,0.644,0.645
2013-10-03,0.649,0.66,0.64,0.64
2013-10-04,0.647,0.66,0.635,0.655
2013-10-07,0.651,0.656,0.644,0.645
2013-10-08,0.659,0.662,0.653,0.657
2013-10-09,0.661,0.663,0.654,0.655
2013-10-10,0.659,0.664,0.656,0.656
2013-10-11,0.661,0.667,0.655,0.655
2013-10-15,0.655,0.673,0.655,0.666
2013-10-16,0.67,0.675,0.642,0.645
2013-10-17,0.647,0.651,0.63,0.632
2013-10-18,0.63,0.63,0.618,0.62
2013-10-21,0.626,0.629,0.624,0.625
2013-10-22,0.626,0.63,0.618,0.618
2013-10-23,0.622,0.623,0.604,0.609
2013-10-24,0.608,0.615,0.598,0.609
2013-10-25,0.614,0.622,0.607,0.615
2013-10-28,0.613,0.621,0.612,0.615
2013-10-29,0.62,0.62,0.609,0.609
2013-10-30,0.594,0.599,0.59,0.59
2013-10-31,0.594,0.602,0.591,0.595
2013-11-01,0.6,0.604,0.594,0.6
2013-11-05,0.611,0.613,0.596,0.605
2013-11-06,0.609,0.62,0.605,0.615
2013-11-07,0.616,0.616,0.594,0.595
2013-11-08,0.595,0.606,0.585,0.606
2013-11-11,0.599,0.607,0.592,0.6
2013-11-12,0.595,0.605,0.591,0.602
2013-11-13,0.604,0.611,0.603,0.606
2013-11-14,0.607,0.607,0.597,0.605
2013-11-15,0.605,0.648,0.605,0.639
2013-11-18,0.652,0.652,0.633,0.637
2013-11-19,0.635,0.642,0.62,0.621
2013-11-20,0.621,0.622,0.615,0.616
2013-11-21,0.616,0.64,0.615,0.634
2013-11-22,0.631,0.65,0.63,0.631
2013-11-25,0.628,0.647,0.628,0.643
2013-11-26,0.626,0.628,0.62,0.62
2013-11-27,0.62,0.62,0.604,0.608
2013-11-28,0.606,0.617,0.604,0.61
2013-11-29,0.606,0.616,0.604,0.605
2013-12-02,0.604,0.619,0.604,0.615
2013-12-03,0.618,0.638,0.615,0.633
2013-12-04,0.635,0.639,0.624,0.637
2013-12-05,0.635,0.635,0.629,0.635
2013-12-06,0.654,0.683,0.653,0.675
2013-12-09,0.684,0.684,0.66,0.66
2013-12-10,0.661,0.671,0.66,0.67
2013-12-11,0.67,0.674,0.658,0.66
2013-12-12,0.66,0.663,0.658,0.663
2013-12-13,0.663,0.694,0.663,0.691
2013-12-16,0.69,0.694,0.684,0.691
2013-12-17,0.691,0.695,0.664,0.665
2013-12-18,0.664,0.674,0.654,0.66
2013-12-19,0.662,0.693,0.661,0.68
2013-12-20,0.68,0.696,0.68,0.684
2013-12-24,0.682,0.693,0.675,0.684
2013-12-25,0.68,0.698,0.68,0.698
2013-12-26,0.695,0.72,0.695,0.718
2013-12-27,0.714,0.716,0.706,0.712
2013-12-30,0.712,0.745,0.712,0.744
2014-01-06,0.743,0.744,0.726,0.73
2014-01-07,0.731,0.731,0.699,0.699
2014-01-08,0.699,0.71,0.69,0.705
2014-01-09,0.707,0.717,0.702,0.702
2014-01-10,0.702,0.706,0.697,0.697
2014-01-14,0.659,0.662,0.657,0.662
2014-01-15,0.667,0.669,0.662,0.668
2014-01-16,0.666,0.68,0.666,0.673
2014-01-17,0.676,0.683,0.67,0.675
2014-01-20,0.675,0.675,0.664,0.666
2014-01-21,0.666,0.691,0.662,0.688
2014-01-22,0.679,0.686,0.677,0.68
2014-01-23,0.662,0.662,0.655,0.656
2014-01-24,0.661,0.661,0.621,0.632
2014-01-27,0.629,0.64,0.619,0.635
2014-01-28,0.636,0.636,0.625,0.632
2014-01-29,0.646,0.651,0.626,0.626
2014-01-30,0.64,0.64,0.619,0.623
2014-01-31,0.624,0.632,0.614,0.618
2014-02-03,0.621,0.624,0.611,0.621
2014-02-04,0.621,0.621,0.604,0.608
2014-02-05,0.616,0.62,0.602,0.602
2014-02-06,0.602,0.624,0.602,0.613
2014-02-07,0.615,0.63,0.615,0.621
2014-02-10,0.62,0.621,0.605,0.606
2014-02-12,0.606,0.621,0.606,0.614
2014-02-13,0.603,0.604,0.602,0.604
2014-02-14,0.604,0.608,0.595,0.598
2014-02-17,0.596,0.608,0.593,0.607
2014-02-18,0.607,0.615,0.604,0.606
2014-02-19,0.606,0.615,0.605,0.606
2014-02-20,0.606,0.613,0.589,0.591
2014-02-21,0.591,0.607,0.59,0.601
2014-02-24,0.599,0.599,0.588,0.597
2014-02-25,0.597,0.603,0.59,0.591
2014-02-26,0.593,0.597,0.586,0.59
2014-02-27,0.592,0.592,0.584,0.59
2014-02-28,0.589,0.601,0.584,0.586
2014-03-03,0.588,0.588,0.579,0.581
2014-03-04,0.582,0.587,0.58,0.586
2014-03-05,0.604,0.618,0.604,0.617
2014-03-06,0.617,0.629,0.615,0.618
2014-03-07,0.621,0.63,0.621,0.625
2014-03-10,0.629,0.631,0.622,0.628
2014-03-11,0.643,0.643,0.631,0.631
2014-03-12,0.631,0.631,0.623,0.63
2014-03-13,0.63,0.65,0.623,0.645
2014-03-14,0.645,0.645,0.616,0.625
2014-03-17,0.622,0.628,0.619,0.625
2014-03-18,0.625,0.632,0.619,0.62
2014-03-19,0.62,0.621,0.61,0.61
2014-03-20,0.61,0.619,0.598,0.601
2014-03-24,0.602,0.613,0.6,0.611
2014-03-25,0.611,0.62,0.607,0.611
2014-03-26,0.611,0.633,0.611,0.633
2014-03-27,0.633,0.642,0.623,0.631
2014-03-28,0.631,0.635,0.62,0.63
2014-03-31,0.63,0.65,0.63,0.647
2014-04-01,0.647,0.647,0.618,0.621
2014-04-02,0.621,0.641,0.618,0.631
2014-04-03,0.631,0.647,0.631,0.646
2014-04-04,0.646,0.65,0.633,0.649
2014-04-07,0.647,0.647,0.612,0.615
2014-04-08,0.615,0.624,0.611,0.621
2014-04-09,0.621,0.622,0.615,0.617
2014-04-10,0.617,0.622,0.609,0.611
2014-04-11,0.611,0.612,0.603,0.609
2014-04-14,0.6,0.614,0.6,0.608
2014-04-15,0.608,0.612,0.603,0.607
2014-04-16,0.607,0.613,0.603,0.611
2014-04-17,0.611,0.612,0.602,0.605
2014-04-18,0.605,0.617,0.601,0.602
2014-04-21,0.606,0.609,0.6,0.609
2014-04-22,0.609,0.614,0.605,0.608
2014-04-23,0.608,0.618,0.606,0.618
2014-04-24,0.618,0.627,0.615,0.62
2014-04-25,0.62,0.636,0.62,0.624
2014-04-28,0.625,0.625,0.614,0.616
2014-04-30,0.616,0.628,0.616,0.624
2014-05-01,0.624,0.626,0.615,0.622
2014-05-02,0.622,0.622,0.609,0.611
2014-05-07,0.611,0.613,0.599,0.601
2014-05-08,0.601,0.611,0.601,0.609
2014-05-09,0.609,0.611,0.603,0.609
2014-05-12,0.613,0.617,0.608,0.611
2014-05-13,0.611,0.62,0.605,0.612
2014-05-14,0.612,0.616,0.6,0.604
2014-05-15,0.604,0.604,0.592,0.592
2014-05-16,0.591,0.593,0.584,0.592
2014-05-19,0.585,0.593,0.585,0.59
2014-05-20,0.59,0.601,0.588,0.592
2014-05-21,0.592,0.601,0.591,0.598
2014-05-22,0.598,0.606,0.598,0.603
2014-05-23,0.603,0.608,0.59,0.592
2014-05-26,0.59,0.598,0.59,0.592
2014-05-27,0.592,0.598,0.59,0.594
2014-05-28,0.594,0.596,0.575,0.586
2014-05-29,0.586,0.586,0.567,0.576
2014-05-30,0.576,0.588,0.576,0.579
2014-06-02,0.581,0.592,0.581,0.586
2014-06-03,0.586,0.621,0.586,0.614
2014-06-04,0.614,0.622,0.614,0.615
2014-06-05,0.615,0.622,0.615,0.619
2014-06-06,0.619,0.619,0.599,0.599
2014-06-09,0.596,0.609,0.596,0.602
2014-06-10,0.602,0.608,0.595,0.6
2014-06-11,0.6,0.608,0.598,0.605
2014-06-12,0.605,0.606,0.6,0.602
2014-06-13,0.602,0.609,0.595,0.605
2014-06-16,0.605,0.605,0.599,0.602
2014-06-17,0.602,0.605,0.59,0.593
2014-06-18,0.593,0.604,0.593,0.6
2014-06-19,0.6,0.6,0.586,0.589
2014-06-20,0.589,0.594,0.581,0.586
2014-06-23,0.585,0.59,0.581,0.586
2014-06-24,0.586,0.589,0.579,0.58
2014-06-25,0.58,0.58,0.567,0.575
2014-06-26,0.575,0.575,0.564,0.571
2014-06-27,0.571,0.572,0.56,0.565
2014-06-30,0.563,0.571,0.563,0.568
2014-07-01,0.568,0.568,0.554,0.559
2014-07-02,0.559,0.567,0.559,0.563
