Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2013-05-08,3.869,3.869,3.869,3.869
2013-05-09,3.888,3.888,3.888,3.888
2013-05-10,3.905,3.905,3.905,3.905
2013-05-13,3.879,3.879,3.879,3.879
2013-05-14,3.95,3.95,3.95,3.95
2013-05-15,4.01,4.01,4.01,4.01
2013-05-16,4.01,4.01,4.01,4.01
2013-05-17,3.89,3.89,3.89,3.89
2013-05-20,4.103,4.103,4.103,4.103
2013-05-21,4.138,4.138,4.138,4.138
2013-05-22,4.158,4.158,4.158,4.158
2013-05-23,4.13,4.13,4.13,4.13
2013-05-24,4.16,4.16,4.16,4.16
2013-05-28,4.168,4.168,4.168,4.168
2013-05-29,4.13,4.13,4.13,4.13
2013-05-30,4.13,4.13,4.13,4.13
2013-05-31,4.003,4.003,4.003,4.003
2013-06-03,4.004,4.004,4.004,4.004
2013-06-04,3.999,3.999,3.999,3.999
2013-06-05,3.955,3.955,3.955,3.955
2013-06-06,3.848,3.848,3.848,3.848
2013-06-10,3.849,3.849,3.849,3.849
2013-06-11,3.761,3.761,3.761,3.761
2013-06-12,3.785,3.785,3.785,3.785
2013-06-13,3.729,3.729,3.729,3.729
2013-06-14,3.75,3.75,3.75,3.75
2013-06-17,3.794,3.794,3.794,3.794
2013-06-18,3.906,3.906,3.906,3.906
2013-06-19,3.94,3.94,3.94,3.94
2013-06-20,3.9,3.9,3.9,3.9
2013-06-21,3.869,3.869,3.869,3.869
2013-06-24,3.82,3.82,3.82,3.82
2013-06-25,3.765,3.765,3.765,3.765
2013-06-26,3.726,3.726,3.726,3.726
2013-06-27,3.571,3.571,3.571,3.571
2013-06-28,3.554,3.554,3.554,3.554
2013-07-02,3.643,3.643,3.643,3.643
2013-07-03,3.515,3.515,3.515,3.515
2013-07-05,3.536,3.536,3.536,3.536
2013-07-08,3.66,3.66,3.66,3.66
2013-07-09,3.695,3.695,3.695,3.695
2013-07-10,3.702,3.702,3.702,3.702
2013-07-11,3.645,3.645,3.645,3.645
2013-07-12,3.618,3.618,3.618,3.618
2013-07-15,3.68,3.68,3.68,3.68
2013-07-16,3.674,3.674,3.674,3.674
2013-07-17,3.673,3.673,3.673,3.673
2013-07-18,3.723,3.723,3.723,3.723
2013-07-19,3.794,3.794,3.794,3.794
2013-07-22,3.698,3.698,3.698,3.698
2013-07-23,3.71,3.71,3.71,3.71
2013-07-24,3.709,3.709,3.709,3.709
2013-07-25,3.654,3.654,3.654,3.654
2013-07-26,3.593,3.593,3.593,3.593
2013-07-29,3.473,3.473,3.473,3.473
2013-07-30,3.458,3.458,3.458,3.458
2013-07-31,3.444,3.444,3.444,3.444
2013-08-01,3.418,3.418,3.418,3.418
2013-08-02,3.393,3.393,3.393,3.393
2013-08-05,3.33,3.33,3.33,3.33
2013-08-06,3.356,3.356,3.356,3.356
2013-08-07,3.304,3.304,3.304,3.304
2013-08-08,3.265,3.265,3.265,3.265
2013-08-09,3.321,3.321,3.321,3.321
2013-08-12,3.361,3.361,3.361,3.361
2013-08-13,3.335,3.335,3.335,3.335
2013-08-14,3.36,3.36,3.36,3.36
2013-08-15,3.334,3.334,3.334,3.334
2013-08-16,3.36,3.36,3.36,3.36
2013-08-19,3.468,3.468,3.468,3.468
2013-08-20,3.493,3.493,3.493,3.493
2013-08-21,3.509,3.509,3.509,3.509
2013-08-22,3.515,3.515,3.515,3.515
2013-08-23,3.513,3.513,3.513,3.513
2013-08-26,3.551,3.551,3.551,3.551
2013-08-27,3.508,3.508,3.508,3.508
2013-08-28,3.558,3.558,3.558,3.558
2013-08-29,3.568,3.568,3.568,3.568
2013-08-30,3.57,3.57,3.57,3.57
2013-09-03,3.655,3.655,3.655,3.655
2013-09-04,3.689,3.689,3.689,3.689
2013-09-05,3.691,3.691,3.691,3.691
2013-09-06,3.55,3.55,3.55,3.55
2013-09-09,3.595,3.595,3.595,3.595
2013-09-10,3.626,3.626,3.626,3.626
2013-09-11,3.596,3.596,3.596,3.596
