Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2013-05-08,677,694,677,691
2013-05-09,692,712,689,705
2013-05-10,705,707,694,704
2013-05-13,702,714,697,713
2013-05-14,712,727,705,726
2013-05-15,726,726,714,723
2013-05-16,724,739,713,735
2013-05-17,735,739,730,733
2013-05-20,735,749,730,745
2013-05-21,744,745,732,742
2013-05-22,742,747,740,741
2013-05-23,743,743,732,734
2013-05-24,733,737,722,723
2013-05-28,735,756,726,751
2013-05-29,751,753,743,745
2013-05-30,745,756,734,753
2013-05-31,752,753,740,746
2013-06-03,745,758,744,754
2013-06-04,754,755,743,747
2013-06-05,747,755,747,755
2013-06-06,754,760,747,758
2013-06-07,757,758,746,754
2013-06-10,754,766,751,766
2013-06-11,765,766,747,749
2013-06-12,749,754,746,752
2013-06-13,753,755,726,732
2013-06-14,730,732,721,728
2013-06-17,730,730,711,711
2013-06-18,711,712,695,707
2013-06-19,707,708,691,691
2013-06-20,691,691,659,661
2013-06-21,657,677,653,672
2013-06-24,671,672,648,659
2013-06-25,658,670,657,663
2013-06-26,662,662,629,630
2013-06-28,643,657,632,655
2013-07-01,656,685,656,683
2013-07-02,683,691,681,682
2013-07-03,681,685,678,682
2013-07-05,673,680,666,679
2013-07-08,677,697,672,693
2013-07-09,692,702,689,696
2013-07-10,696,712,695,710
2013-07-11,711,726,711,717
2013-07-12,717,721,712,717
2013-07-15,721,729,720,729
2013-07-16,728,733,724,732
2013-07-17,732,734,727,731
2013-07-18,730,745,725,741
2013-07-19,741,746,739,744
2013-07-22,746,750,742,744
2013-07-23,743,743,729,737
2013-07-24,736,745,733,744
2013-07-25,744,745,732,735
2013-07-26,735,738,717,723
2013-07-29,724,743,719,739
2013-07-30,739,739,721,725
2013-07-31,725,734,720,724
2013-08-01,725,732,724,730
2013-08-02,729,730,721,727
2013-08-05,728,733,725,730
2013-08-06,729,730,717,719
2013-08-07,718,721,710,720
2013-08-08,720,739,719,734
2013-08-09,734,739,733,738
2013-08-12,740,743,734,734
2013-08-13,735,738,732,735
2013-08-14,734,737,731,736
2013-08-15,736,763,736,760
2013-08-16,758,761,749,759
2013-08-19,760,760,747,749
2013-08-20,748,751,741,745
2013-08-21,744,746,739,741
2013-08-22,740,751,736,750
2013-08-23,750,753,744,745
2013-08-26,749,751,741,744
2013-08-27,744,747,740,740
2013-08-28,741,746,736,741
2013-08-29,742,742,733,734
2013-08-30,734,734,717,718
2013-09-03,710,720,710,714
2013-09-04,713,714,691,696
2013-09-05,688,693,683,683
2013-09-06,682,699,681,693
2013-09-09,694,696,679,682
2013-09-10,683,691,680,691
2013-09-11,691,699,686,689
2013-09-12,690,693,682,687
2013-09-13,687,697,684,697
2013-09-16,698,709,698,700
2013-09-17,700,706,696,701
2013-09-18,701,715,692,715
2013-09-19,715,733,714,730
2013-09-20,730,733,713,713
2013-09-23,713,717,706,711
2013-09-24,711,717,709,716
2013-09-25,716,720,714,719
2013-09-26,719,721,717,718
2013-09-27,717,730,714,726
2013-09-30,731,731,720,720
2013-10-01,719,724,712,716
2013-10-02,716,718,711,716
2013-10-03,715,716,697,698
2013-10-04,699,705,690,696
2013-10-07,698,701,693,700
2013-10-08,700,712,699,709
2013-10-09,710,710,698,699
2013-10-10,699,709,698,704
2013-10-11,703,713,703,709
2013-10-14,712,714,707,711
2013-10-15,710,712,701,704
2013-10-16,705,715,702,713
2013-10-17,715,738,711,738
2013-10-18,736,738,732,737
2013-10-21,738,747,738,746
2013-10-22,745,750,738,750
2013-10-23,750,750,741,742
2013-10-24,743,746,740,743
2013-10-25,742,743,731,739
2013-10-28,740,745,737,743
2013-10-29,743,744,738,742
2013-10-30,741,748,740,742
2013-10-31,742,742,732,734
2013-11-01,733,738,730,737
2013-11-04,736,747,736,745
2013-11-05,744,749,739,745
2013-11-06,744,760,744,760
2013-11-07,760,761,752,757
2013-11-08,757,760,751,753
2013-11-11,753,754,743,750
2013-11-12,749,749,736,737
2013-11-13,736,739,727,730
2013-11-14,731,738,730,736
2013-11-15,735,741,720,729
2013-11-18,727,728,713,714
2013-11-19,713,720,710,716
2013-11-20,717,719,707,707
2013-11-21,707,716,707,710
2013-11-22,709,720,709,711
2013-11-25,712,720,707,718
2013-11-26,720,720,709,715
2013-11-27,714,722,712,713
2013-11-29,717,721,714,716
2013-12-02,715,715,707,708
2013-12-03,708,712,707,712
2013-12-04,714,728,711,724
2013-12-05,723,734,721,732
2013-12-06,732,736,725,731
2013-12-09,733,736,728,733
2013-12-10,732,739,730,735
2013-12-11,734,738,733,734
2013-12-12,733,734,711,713
2013-12-13,716,721,713,713
2013-12-16,714,716,711,714
2013-12-17,713,716,696,696
2013-12-18,697,706,694,694
2013-12-19,693,697,692,693
2013-12-20,693,697,693,696
2013-12-23,698,698,691,692
2013-12-24,692,694,690,692
2013-12-26,692,700,690,696
2013-12-27,697,711,695,708
2013-12-30,709,713,706,706
2014-01-02,709,728,709,724
2014-01-03,725,729,722,722
2014-01-06,727,734,723,734
2014-01-07,733,739,730,738
2014-01-08,737,740,730,733
2014-01-09,732,737,732,733
2014-01-10,733,741,732,741
2014-01-13,741,742,734,737
2014-01-14,736,738,732,735
2014-01-15,736,743,731,739
2014-01-16,739,740,734,740
2014-01-17,739,749,738,744
2014-01-21,744,746,738,744
2014-01-22,743,746,740,743
2014-01-23,743,744,739,741
2014-01-24,741,744,730,730
2014-01-27,733,733,718,718
2014-01-28,718,721,711,713
2014-01-29,712,717,707,711
2014-01-30,710,714,703,704
2014-01-31,703,706,699,701
2014-02-03,699,710,697,698
2014-02-04,698,701,694,699
2014-02-05,698,713,698,706
2014-02-06,705,712,704,707
2014-02-07,708,712,706,706
2014-02-10,709,718,707,713
2014-02-11,713,719,713,715
2014-02-12,714,726,714,726
2014-02-13,726,729,721,728
2014-02-14,728,737,726,734
2014-02-18,737,738,727,733
2014-02-19,733,737,729,730
2014-02-20,730,734,726,734
2014-02-21,733,738,732,737
2014-02-24,737,741,732,738
2014-02-25,738,739,731,731
2014-02-26,732,734,725,727
2014-02-27,727,740,724,739
2014-02-28,738,743,737,739
2014-03-03,742,746,740,744
2014-03-04,745,760,741,759
2014-03-05,759,775,759,767
2014-03-06,767,779,767,777
2014-03-07,776,779,769,776
2014-03-10,775,777,768,772
2014-03-11,771,775,763,766
2014-03-12,767,774,758,772
2014-03-13,772,775,768,772
2014-03-14,772,779,765,769
2014-03-17,772,776,767,769
2014-03-18,770,770,757,764
2014-03-19,764,769,759,759
2014-03-20,759,766,745,766
2014-03-21,766,792,764,791
2014-03-24,792,795,779,790
2014-03-25,789,792,780,785
2014-03-26,784,785,772,779
2014-03-27,778,778,753,755
2014-03-28,756,770,756,770
2014-03-31,768,776,768,773
2014-04-01,774,778,764,776
2014-04-02,776,785,773,784
2014-04-03,784,787,780,784
2014-04-04,783,787,780,786
2014-04-07,787,787,762,762
2014-04-08,762,774,762,772
2014-04-09,772,779,769,778
2014-04-10,778,789,777,787
2014-04-11,786,803,782,802
2014-04-14,804,811,804,806
2014-04-15,806,806,785,790
2014-04-16,790,799,786,797
2014-04-17,797,804,791,792
2014-04-21,795,797,770,775
2014-04-22,776,785,774,782
2014-04-23,780,783,780,783
2014-04-24,782,798,775,797
2014-04-25,797,807,797,806
2014-04-28,810,810,793,798
2014-04-29,797,805,791,802
2014-04-30,802,808,795,806
2014-05-01,805,815,802,810
2014-05-02,810,815,806,807
2014-05-05,806,813,806,813
2014-05-06,811,815,809,814
2014-05-07,813,815,792,792
2014-05-08,795,803,792,800
2014-05-09,800,801,794,797
2014-05-12,795,805,794,802
2014-05-13,802,815,800,812
2014-05-14,812,825,810,823
2014-05-15,823,824,807,807
2014-05-16,806,814,803,811
2014-05-19,810,819,810,813
2014-05-20,812,825,811,823
2014-05-21,822,830,822,824
2014-05-22,824,834,823,831
2014-05-23,831,833,824,826
2014-05-27,830,832,826,830
2014-05-28,829,841,827,834
2014-05-29,833,836,827,831
2014-05-30,833,834,826,833
2014-06-02,834,834,827,828
2014-06-03,826,835,826,835
2014-06-04,834,835,829,834
2014-06-05,833,837,829,836
2014-06-06,835,843,834,843
2014-06-09,843,843,838,839
2014-06-10,838,852,838,851
2014-06-11,850,859,848,857
2014-06-12,857,859,816,819
2014-06-13,824,827,805,811
2014-06-16,814,819,805,807
2014-06-17,806,816,805,814
2014-06-18,814,827,814,822
2014-06-19,821,835,821,834
2014-06-20,833,835,815,818
2014-06-23,819,820,810,819
2014-06-24,819,828,816,824
2014-06-25,824,830,818,829
2014-06-26,828,833,824,832
2014-06-27,833,838,831,837
2014-06-30,840,843,836,839
2014-07-01,838,851,838,849
2014-07-02,849,856,846,852
2014-07-03,853,860,845,856
2014-07-07,859,865,857,863
2014-07-08,862,872,860,868
2014-07-09,867,871,866,869
2014-07-10,869,873,861,867
2014-07-11,866,870,862,870
2014-07-14,872,872,864,867
2014-07-15,868,870,860,864
2014-07-16,862,872,860,869
2014-07-17,868,886,868,881
2014-07-18,879,882,869,877
2014-07-21,879,881,870,872
2014-07-22,872,872,863,869
2014-07-23,868,873,867,868
2014-07-24,867,869,864,868
2014-07-25,869,876,866,876
2014-07-28,876,883,873,876
2014-07-29,875,882,873,875
2014-07-30,875,878,873,876
2014-07-31,876,878,865,866
2014-08-01,866,870,859,861
2014-08-04,859,866,850,851
2014-08-05,851,855,837,843
2014-08-06,841,847,836,846
2014-08-07,847,855,845,852
2014-08-08,852,858,852,856
2014-08-11,859,871,853,870
2014-08-12,871,879,868,873
2014-08-13,873,877,871,876
2014-08-14,876,881,872,878
2014-08-15,876,890,871,889
2014-08-18,891,896,888,889
2014-08-19,887,892,874,877
2014-08-20,876,878,862,862
2014-08-21,862,874,860,873
2014-08-22,873,884,873,883
2014-08-25,878,888,877,888
2014-08-26,889,889,880,881
2014-08-27,881,889,880,887
2014-08-28,887,894,886,890
2014-08-29,890,903,890,900
2014-09-02,902,906,877,877
2014-09-03,881,882,866,872
2014-09-04,870,885,869,883
2014-09-05,884,887,880,885
2014-09-08,889,891,877,880
2014-09-09,879,882,856,857
2014-09-10,859,860,844,848
2014-09-11,848,849,828,829
2014-09-12,829,832,817,832
2014-09-15,831,843,829,830
2014-09-16,831,840,829,838
2014-09-17,838,842,830,830
2014-09-18,830,830,818,824
2014-09-19,824,828,805,807
2014-09-22,807,811,797,797
2014-09-23,797,813,797,811
2014-09-24,811,820,811,812
2014-09-25,812,813,792,798
2014-09-26,797,804,776,778
2014-09-29,779,787,776,786
2014-09-30,785,788,764,768
2014-10-01,769,779,761,775
2014-10-02,774,783,763,765
2014-10-03,765,768,748,752
2014-10-06,755,764,736,763
2014-10-07,763,785,763,781
2014-10-08,781,798,781,798
2014-10-09,799,805,791,791
2014-10-10,792,792,778,781
2014-10-13,783,787,778,781
2014-10-14,780,791,780,788
2014-10-15,787,788,758,763
2014-10-16,764,765,727,738
2014-10-17,745,756,742,750
2014-10-20,753,761,751,759
2014-10-21,759,772,756,772
2014-10-22,773,777,765,766
2014-10-23,765,777,761,776
2014-10-24,776,784,775,776
2014-10-27,775,783,774,781
2014-10-28,781,792,777,788
2014-10-29,789,797,787,790
2014-10-30,792,792,774,776
2014-10-31,776,789,768,788
2014-11-03,790,804,786,801
2014-11-04,799,801,781,782
2014-11-05,785,785,753,755
2014-11-06,757,757,746,748
2014-11-07,749,772,745,770
2014-11-10,768,772,758,759
2014-11-11,758,771,755,769
2014-11-12,768,779,767,771
2014-11-13,770,776,764,764
2014-11-14,763,768,752,763
2014-11-17,763,770,759,766
2014-11-18,768,774,763,769
2014-11-19,770,775,761,761
2014-11-20,760,768,759,768
2014-11-21,769,791,767,788
2014-11-24,787,796,784,787
2014-11-25,788,795,786,790
2014-11-26,789,802,788,802
2014-11-28,801,811,795,806
2014-12-01,805,807,790,803
2014-12-02,803,806,793,799
2014-12-03,798,809,792,792
2014-12-04,792,800,792,794
2014-12-05,793,802,793,798
2014-12-08,801,803,794,797
2014-12-09,797,808,793,806
2014-12-10,806,818,805,811
2014-12-11,810,819,810,815
2014-12-12,816,816,809,811
2014-12-15,814,814,793,794
2014-12-16,794,802,779,780
2014-12-17,780,789,772,775
2014-12-18,774,791,774,789
2014-12-19,789,804,786,804
2014-12-22,802,811,802,807
2014-12-23,807,811,806,809
2014-12-24,809,811,803,804
2014-12-26,806,815,805,815
2014-12-29,816,816,805,807
2014-12-30,806,810,800,800
2014-12-31,800,803,791,792
2015-01-02,793,796,788,791
2015-01-05,793,798,788,791
2015-01-06,792,802,791,799
2015-01-07,798,802,783,787
2015-01-08,787,793,783,788
2015-01-09,789,800,788,799
2015-01-12,800,810,797,807
2015-01-13,805,815,803,812
2015-01-14,811,812,763,772
2015-01-15,774,785,762,763
2015-01-16,762,770,742,753
2015-01-20,752,778,752,773
2015-01-21,772,779,761,763
2015-01-22,763,772,755,772
2015-01-23,772,772,759,771
2015-01-26,772,777,755,777
2015-01-27,776,780,770,777
2015-01-28,777,794,772,789
2015-01-29,790,792,764,769
2015-01-30,768,779,765,769
2015-02-02,768,784,766,783
2015-02-03,782,793,780,782
2015-02-04,782,793,781,788
2015-02-05,787,792,784,790
2015-02-06,789,793,778,781
2015-02-09,780,783,773,775
2015-02-10,774,779,763,766
2015-02-11,766,774,763,763
2015-02-12,763,772,763,770
2015-02-13,771,790,765,788
2015-02-17,784,786,773,778
2015-02-18,778,781,771,775
2015-02-19,775,786,772,783
2015-02-20,784,784,773,776
2015-02-23,775,784,772,784
2015-02-24,782,791,780,791
2015-02-25,791,805,790,805
2015-02-26,804,811,803,806
2015-02-27,806,815,800,813
2015-03-02,816,828,811,826
2015-03-03,825,828,815,825
2015-03-04,824,828,818,824
2015-03-05,824,828,818,822
2015-03-06,822,826,812,815
2015-03-09,815,823,815,818
2015-03-10,818,818,798,799
2015-03-11,799,804,785,786
2015-03-12,785,794,782,786
2015-03-13,786,794,784,789
2015-03-16,788,788,776,776
2015-03-17,777,780,759,760
2015-03-18,759,782,755,777
2015-03-19,778,783,763,763
2015-03-20,763,776,763,773
2015-03-23,772,778,768,774
2015-03-24,774,774,761,761
2015-03-25,760,766,760,763
2015-03-26,761,774,760,768
2015-03-27,767,771,738,738
2015-03-30,737,745,724,727
2015-03-31,727,733.82,723.82,732.02
2015-04-01,732,745.61,731.12,744.77
2015-04-02,743,748.42,738.18,742.9
2015-04-06,741.99,767.26,741.99,764.91
2015-04-07,764,772.87,761.82,764.39
2015-04-08,765,767.48,750.5,750.99
2015-04-09,751,760.5,749.04,760.27
2015-04-10,761.94,773.64,757.31,772.21
2015-04-13,772,780.91,763.07,767.16
2015-04-14,768,768,752.63,759.53
2015-04-15,759.01,767.87,756.66,767.03
2015-04-16,766,777.96,764.54,775.76
2015-04-17,775.87,780.51,773.14,779.57
2015-04-20,780,781.95,761.44,767.54
2015-04-21,767,773.3,765.69,765.79
2015-04-22,765,767.77,751.15,751.15
2015-04-23,751.16,769.34,751.03,767
2015-04-24,766.97,773.04,765.58,769.11
2015-04-27,772.5,779.83,763.19,774.78
2015-04-28,775,776.94,768.6,772.03
2015-04-29,772,780.86,768.63,778.72
2015-04-30,778,779.88,767.27,772.72
2015-05-01,772.03,776.42,768.02,769.97
2015-05-04,770,779.27,768.03,777.81
2015-05-05,777.63,793.23,773.48,788
2015-05-06,787,791.68,784.09,787.78
2015-05-07,788,789.11,775.01,776.56
2015-05-08,776,797.88,776,794.03
2015-05-11,798.5,798.5,776.1,778
2015-05-12,778.78,782.77,776.08,780.25
2015-05-13,780,786.04,780,782.79
2015-05-14,784,785.25,775.24,778.8
2015-05-15,778,789.38,777.32,788.81
2015-05-18,790.5,795.12,782.27,782.99
2015-05-19,783,784.53,772.22,772.53
2015-05-20,772,782.14,771.39,774.72
2015-05-21,774,777.79,771.56,777.03
2015-05-22,776,783.23,766.45,781.21
2015-05-26,784.01,785.91,777.93,778.75
2015-05-27,778,784.03,777.36,782.15
2015-05-28,782,784.77,776.83,782.33
2015-05-29,783,784.23,772.24,773.33
2015-06-01,773,774.62,768.69,769.65
2015-06-02,770,771.77,763.27,763.93
2015-06-03,764,765.02,749.88,753.2
2015-06-04,753,755.06,749.81,751.1
