Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2013-05-08,809.42,811.92,805.68,810.68
2013-05-09,810.68,812.79,804.78,808.78
2013-05-10,808.78,808.78,797.9,805.26
2013-05-13,804.75,804.99,800.36,804.97
2013-05-14,805.11,815.89,805.11,815.62
2013-05-15,814.88,815.04,805.85,812.71
2013-05-16,812.35,814.48,806.91,808.3
2013-05-17,808.3,822.95,808.3,822.53
2013-05-20,822.33,835.32,822.33,833.79
2013-05-21,833.79,839,829.55,832.45
2013-05-22,832.31,839.59,818.12,822.06
2013-05-23,821.73,822.25,809.36,820.86
2013-05-24,819.73,819.73,810.59,817.31
2013-05-28,817.56,832.63,817.56,825.88
2013-05-29,825.16,827.17,818.6,824.1
2013-05-30,823.73,826.51,817.25,822.15
2013-05-31,821.44,821.44,805.41,805.41
2013-06-03,806.22,812.96,804.68,812.96
2013-06-04,812.31,814,800.61,806.24
2013-06-05,805.68,806.49,796.69,797.09
2013-06-06,797.11,803.09,790.81,803.09
2013-06-07,803.89,813.44,803.56,812.67
2013-06-10,812.99,815.79,807.98,810.45
2013-06-11,810.34,810.34,797.28,797.91
2013-06-12,798.52,806.14,791.33,792.48
2013-06-13,792.26,808.38,792.03,806.46
2013-06-14,806.86,807.58,796.79,798.46
2013-06-17,799.47,812.21,799.47,809.8
2013-06-18,809.94,817.15,809.44,814.76
2013-06-19,814.71,818.37,806.55,806.55
2013-06-20,806.16,806.16,781.28,783.57
2013-06-21,783.57,790.05,775.94,785.28
2013-06-24,785.09,785.09,763.5,773.29
2013-06-25,773.53,785.45,773.53,782.74
2013-06-26,783.16,790.31,781.44,788.13
2013-06-28,788.93,792.36,783.99,786.97
2013-07-01,787.89,798.37,787.89,791.83
2013-07-02,791.96,800.14,789.8,793.62
2013-07-03,792.99,794.24,786.99,793.61
2013-07-05,794.42,803.27,791.82,802.59
2013-07-08,803.32,812.89,803.32,808.03
2013-07-09,809.11,817.38,809.11,816.71
2013-07-10,817.07,818.85,809.98,811.5
2013-07-11,811.65,820.92,811.65,819.37
2013-07-12,819.05,823.03,816.71,822.97
2013-07-15,822.85,824.32,820.43,821.88
2013-07-16,822.04,823.76,811.71,816.67
2013-07-17,817.12,822.52,817.12,820.5
2013-07-18,821.28,830.98,821.28,828.66
2013-07-19,828.66,840.14,828.66,840.04
2013-07-22,839.9,841.24,837.2,837.86
2013-07-23,838.46,842.58,838.02,838.94
2013-07-24,839.11,839.48,825.75,829.8
2013-07-25,829.48,836.28,826.93,835.39
2013-07-26,834.77,834.77,826.43,833.01
2013-07-29,832.51,832.51,823.05,826.07
2013-07-30,826.56,828.23,819.9,824.16
2013-07-31,824.73,833.07,824.73,827.07
2013-08-01,827.8,841.28,827.58,841.09
2013-08-02,840.25,840.25,831.52,836.74
2013-08-05,836.1,836.1,830.71,834.76
2013-08-06,834.49,837.02,827.51,829.74
2013-08-07,828.83,829.53,823.34,826.31
2013-08-08,827.05,832.7,823.99,831.09
2013-08-09,831.01,831.84,823.7,827.94
2013-08-12,826.69,827.24,821.83,823.99
2013-08-13,824.22,827.43,820.5,825.39
2013-08-14,825.35,826.93,821.23,821.73
2013-08-15,820.6,820.6,812.78,816.52
2013-08-16,816.52,816.52,809.69,812.93
2013-08-19,812.52,812.52,799.16,799.77
2013-08-20,799.91,808.79,799.04,804.4
2013-08-21,803.9,807.11,798.85,800.09
2013-08-22,800.78,815.05,800.78,812.37
2013-08-23,812.75,819.25,809.94,818.39
2013-08-26,818.93,823.31,815.11,816.65
2013-08-27,815.98,817.18,810.6,811.03
2013-08-28,811.42,828.04,811.42,824.87
2013-08-29,824.41,824.41,815.08,816.44
2013-08-30,816.78,820.03,813.8,816.27
2013-09-03,816.97,826.65,816.97,822.27
2013-09-04,821.8,828.67,819.28,826.29
2013-09-05,826.67,832.61,826.67,829.01
2013-09-06,829.81,835.13,823.18,829.32
2013-09-09,829.82,838.89,829.82,837.5
2013-09-10,838.15,838.25,831.3,838.21
2013-09-11,838.45,844.32,834.34,844.32
2013-09-12,844.24,845.07,838.71,839.25
2013-09-13,839.23,842.18,837.64,839
2013-09-16,840.01,844.38,837.69,838.74
2013-09-17,838.78,844.96,838.78,842.46
2013-09-18,842.51,856.15,840.06,853.03
2013-09-19,853.43,856.82,849.39,850.99
2013-09-20,850.99,853.24,842.45,843.72
2013-09-23,842.71,843.54,837.53,839.88
2013-09-24,839.89,846.81,837.27,840.73
2013-09-25,841.08,845.58,840.43,840.48
2013-09-26,841.09,843.67,838.03,841.56
2013-09-27,840.51,840.51,835.72,838.8
2013-09-30,838.28,838.28,827.4,832.35
2013-10-01,832,839.95,831.11,837.76
2013-10-02,837.06,840.73,830.08,840.03
2013-10-03,839.43,839.43,828.59,833.17
2013-10-04,833.35,843.09,830.81,840.73
2013-10-07,840.09,840.09,831.91,833.82
2013-10-08,833.87,835.96,824.45,824.57
2013-10-09,824.57,825.62,816.69,821.96
2013-10-10,822.23,837.31,822.23,837.31
2013-10-11,836.46,848.48,833.32,846.28
2013-10-14,845.63,852.26,839.52,851.28
2013-10-15,850.87,854.13,845.76,847.9
2013-10-16,849.06,863.86,849.06,861.59
2013-10-17,861.16,863.61,858.31,863.48
2013-10-18,863.48,872.74,863.48,872.72
2013-10-21,872.85,875.76,867.09,868.99
2013-10-22,869.4,879.13,869.4,873.56
2013-10-23,873.02,873.02,857.73,860.1
2013-10-24,860.31,865.48,855.51,864.18
2013-10-25,864.81,871.42,863.68,869.17
2013-10-28,869.43,871.92,865.72,869.99
2013-10-29,870.3,876.2,870.3,876.07
2013-10-30,876.09,879.57,863.57,870.1
2013-10-31,870.07,874.95,864.52,866.46
2013-11-01,866.59,867.32,853.69,863.55
2013-11-04,864.42,875.26,864.42,874.41
2013-11-05,873.76,873.76,866.04,866.62
2013-11-06,867.22,875.52,866.24,868.9
2013-11-07,869.18,870.52,852.22,854.76
2013-11-08,854.8,868.11,854.68,868.11
2013-11-11,868.21,871.9,866.69,869.16
2013-11-12,868.74,868.88,858.6,861.01
2013-11-13,860.21,868.36,857.1,868.23
2013-11-14,868.09,873.15,866.58,872.68
