Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2013-05-08,313.7,316.16,312.75,316.11
2013-05-09,316.11,316.8,314.08,314.7
2013-05-10,314.7,316.32,314.42,316.01
2013-05-13,315.4,315.92,314.54,314.89
2013-05-14,314.74,316.83,314.74,315.9
2013-05-15,315.51,316.84,314.88,316.81
2013-05-16,316.33,320.42,316.33,318.43
2013-05-17,319.51,321.77,318.95,321.76
2013-05-20,320.9,322.75,320.75,321.45
2013-05-21,320.99,321.7,319.58,320.57
2013-05-22,321,322.55,316.01,317.21
2013-05-23,315.7,318.16,314.86,317.07
2013-05-24,315.63,316.74,314.42,316.73
2013-05-28,317.86,321.04,317.45,318.01
2013-05-29,316.88,318.18,315.08,317.1
2013-05-30,317.34,320.55,317.34,319
2013-05-31,318.3,320.82,316.07,316.07
2013-06-03,316.41,317.91,314.37,317.91
2013-06-04,318.45,319.8,315.47,316.47
2013-06-05,315.59,316.37,312.95,313.24
2013-06-06,313.62,314.45,310.64,314.36
2013-06-07,315.12,317.13,314.02,317.11
2013-06-10,317.52,318.8,317.08,317.55
2013-06-11,315.71,317.42,313.89,314.24
2013-06-12,315.58,316.36,311.4,311.85
2013-06-13,311.76,316.21,311.01,315.63
2013-06-14,315.44,316.24,313.1,313.45
2013-06-17,314.73,318.01,314.73,316.26
2013-06-18,316.44,319.44,316.44,318.78
2013-06-19,318.9,318.97,314.85,314.85
2013-06-20,312.97,313.11,307.31,307.87
2013-06-21,307.62,308.56,304.04,306.18
2013-06-24,304.59,304.59,300.4,302.29
2013-06-25,304.29,306.09,303.15,304.96
2013-06-26,306.79,307.79,305.9,306.64
2013-06-28,306.93,308.39,304.6,306.7
2013-07-01,308.18,310.8,308.07,308.46
2013-07-02,308.49,310.96,307.1,309.05
2013-07-03,308.63,312.04,308.13,310.75
2013-07-05,311.49,312.85,309.4,312.84
2013-07-08,313.54,313.87,311.26,312.1
2013-07-09,312.85,313.8,311.79,313.26
2013-07-10,312.91,315.18,312.91,314.36
2013-07-11,316.02,319.77,316.02,319.58
2013-07-12,319.84,320.15,318.6,320.02
2013-07-15,319.59,320.92,318.74,320.53
2013-07-16,320.53,321.1,319.86,320.8
