Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2013-05-08,3.012,3.013,2.969,2.978
2013-05-09,2.96,3.002,2.947,2.997
2013-05-10,3.051,3.13,3.034,3.104
2013-05-13,3.115,3.143,3.112,3.129
2013-05-14,3.115,3.175,3.103,3.163
2013-05-15,3.164,3.198,3.137,3.159
2013-05-16,3.164,3.174,3.078,3.086
2013-05-17,3.105,3.172,3.103,3.165
2013-05-20,3.145,3.18,3.127,3.174
2013-05-21,3.168,3.199,3.135,3.149
2013-05-22,3.127,3.223,3.101,3.209
2013-05-23,3.186,3.23,3.16,3.197
2013-05-24,3.186,3.203,3.151,3.175
2013-05-28,3.204,3.29,3.203,3.29
2013-05-29,3.3,3.3,3.26,3.27
2013-05-30,3.287,3.292,3.254,3.287
2013-05-31,3.262,3.356,3.254,3.308
2013-06-03,3.309,3.318,3.241,3.276
2013-06-04,3.288,3.318,3.278,3.297
2013-06-05,3.276,3.29,3.249,3.26
2013-06-06,3.236,3.285,3.177,3.232
2013-06-07,3.241,3.327,3.229,3.324
2013-06-10,3.352,3.38,3.341,3.37
2013-06-11,3.41,3.41,3.32,3.33
2013-06-12,3.32,3.375,3.308,3.375
2013-06-13,3.372,3.372,3.312,3.326
2013-06-14,3.307,3.328,3.273,3.297
2013-06-17,3.295,3.349,3.295,3.348
2013-06-18,3.363,3.377,3.326,3.342
2013-06-19,3.328,3.427,3.317,3.414
2013-06-20,3.453,3.546,3.444,3.514
2013-06-21,3.474,3.571,3.468,3.567
2013-06-24,3.628,3.629,3.543,3.559
2013-06-25,3.537,3.615,3.537,3.612
2013-06-26,3.601,3.618,3.558,3.574
2013-06-27,3.553,3.566,3.52,3.547
2013-06-28,3.545,3.578,3.498,3.498
2013-07-01,3.523,3.537,3.478,3.489
2013-07-02,3.468,3.488,3.458,3.469
2013-07-03,3.477,3.498,3.462,3.497
2013-07-05,3.549,3.685,3.535,3.677
2013-07-08,3.685,3.685,3.638,3.643
