Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2013-05-08,0.9403,0.941,0.9337,0.9349
2013-05-09,0.9349,0.9498,0.9333,0.9481
2013-05-10,0.9479,0.9627,0.9476,0.9574
2013-05-13,0.9582,0.9595,0.9546,0.957
2013-05-14,0.9571,0.9673,0.952,0.9658
2013-05-15,0.9659,0.9747,0.9642,0.9657
2013-05-16,0.9656,0.9708,0.9578,0.9644
2013-05-17,0.9643,0.976,0.9636,0.9728
2013-05-20,0.9693,0.9718,0.9648,0.9665
2013-05-21,0.9665,0.975,0.9654,0.9702
2013-05-22,0.9702,0.9837,0.9679,0.979
2013-05-23,0.9791,0.9817,0.9633,0.9687
2013-05-24,0.9688,0.9716,0.959,0.961
2013-05-27,0.9612,0.9648,0.9592,0.9624
2013-05-28,0.9624,0.978,0.9617,0.9765
2013-05-29,0.9765,0.979,0.96,0.9619
2013-05-30,0.9616,0.965,0.9524,0.9532
2013-05-31,0.9532,0.9624,0.9511,0.9563
2013-06-03,0.9572,0.9624,0.9408,0.9471
2013-06-04,0.9471,0.952,0.9453,0.9469
2013-06-05,0.947,0.9493,0.9395,0.9418
2013-06-06,0.9418,0.9438,0.9224,0.9304
2013-06-07,0.9304,0.9373,0.9249,0.9357
2013-06-10,0.9366,0.9418,0.9318,0.9337
2013-06-11,0.9337,0.9349,0.9222,0.9245
2013-06-12,0.9245,0.9286,0.9173,0.9204
2013-06-13,0.9204,0.9258,0.913,0.922
2013-06-14,0.922,0.9269,0.9196,0.9211
2013-06-17,0.9218,0.9271,0.9213,0.9226
2013-06-18,0.9226,0.9262,0.9175,0.9198
2013-06-19,0.9198,0.9321,0.9178,0.9279
2013-06-20,0.9279,0.936,0.925,0.9268
2013-06-21,0.9268,0.9367,0.9241,0.9344
2013-06-24,0.9357,0.938,0.9312,0.9327
2013-06-25,0.9328,0.9407,0.9318,0.9378
2013-06-26,0.9378,0.9443,0.9372,0.9428
2013-06-27,0.9429,0.9487,0.9406,0.945
2013-06-28,0.945,0.9474,0.941,0.9445
2013-07-01,0.9446,0.95,0.9438,0.945
2013-07-02,0.945,0.9529,0.9444,0.9502
2013-07-03,0.9502,0.9523,0.9446,0.9464
2013-07-04,0.9466,0.9583,0.9458,0.9559
2013-07-05,0.956,0.966,0.9558,0.9633
2013-07-08,0.9656,0.9666,0.9625,0.9635
2013-07-09,0.9634,0.975,0.9632,0.9727
2013-07-10,0.9727,0.9744,0.9532,0.9535
2013-07-11,0.9534,0.9548,0.9402,0.9465
2013-07-12,0.9465,0.9514,0.9438,0.9459
2013-07-15,0.946,0.9534,0.945,0.948
2013-07-16,0.948,0.9493,0.9378,0.9396
2013-07-17,0.9396,0.9445,0.9358,0.941
2013-07-18,0.941,0.9477,0.9404,0.9438
2013-07-19,0.9438,0.9461,0.9397,0.9405
2013-07-22,0.9409,0.9412,0.9322,0.936
2013-07-23,0.936,0.9406,0.9342,0.9347
2013-07-24,0.9347,0.9388,0.934,0.9371
2013-07-25,0.9371,0.9394,0.9283,0.93
2013-07-26,0.93,0.9304,0.9264,0.9283
2013-07-29,0.9283,0.9322,0.9269,0.9311
2013-07-30,0.9309,0.9324,0.9273,0.9296
2013-07-31,0.9296,0.9336,0.9228,0.9262
2013-08-01,0.9261,0.9372,0.9252,0.9363
2013-08-02,0.9363,0.9388,0.9274,0.9293
2013-08-05,0.9289,0.9332,0.9268,0.9276
2013-08-06,0.9276,0.9295,0.9238,0.9258
2013-08-07,0.9258,0.9288,0.9207,0.9213
2013-08-08,0.9213,0.9229,0.9175,0.9198
2013-08-09,0.9198,0.9229,0.919,0.9219
2013-08-12,0.9221,0.9284,0.9215,0.9257
2013-08-13,0.9257,0.9348,0.9256,0.933
2013-08-14,0.9329,0.9377,0.9323,0.9348
2013-08-15,0.9349,0.9396,0.9247,0.9254
2013-08-16,0.9254,0.9287,0.9217,0.926
2013-08-19,0.9262,0.9284,0.9228,0.924
2013-08-20,0.9241,0.925,0.9147,0.9171
2013-08-21,0.9171,0.9234,0.9162,0.9219
2013-08-22,0.9219,0.9289,0.9219,0.9233
2013-08-23,0.9233,0.9263,0.9189,0.9209
2013-08-26,0.9205,0.9246,0.9205,0.9226
2013-08-27,0.9226,0.9229,0.9171,0.9172
2013-08-28,0.9173,0.9235,0.917,0.9218
2013-08-29,0.9219,0.9321,0.9217,0.931
2013-08-30,0.931,0.9331,0.9289,0.9304
2013-09-02,0.9312,0.9348,0.9308,0.9341
2013-09-03,0.9341,0.9382,0.9341,0.9367
2013-09-04,0.9367,0.9382,0.9347,0.9355
2013-09-05,0.9355,0.9454,0.9353,0.9449
2013-09-06,0.9449,0.9455,0.9346,0.9377
2013-09-09,0.9383,0.9391,0.9301,0.9321
2013-09-10,0.9321,0.9366,0.9316,0.9349
2013-09-11,0.9348,0.937,0.9284,0.9305
2013-09-12,0.9305,0.9334,0.9272,0.9302
2013-09-13,0.9302,0.9341,0.928,0.9293
2013-09-16,0.9243,0.9278,0.9235,0.9272
2013-09-17,0.9273,0.9278,0.9251,0.9258
2013-09-18,0.9257,0.9268,0.9108,0.9131
2013-09-19,0.9131,0.9137,0.9089,0.9105
2013-09-20,0.9105,0.9126,0.9088,0.9107
2013-09-23,0.9099,0.9129,0.9084,0.9108
2013-09-24,0.9108,0.9133,0.9098,0.9129
2013-09-25,0.9129,0.9137,0.9078,0.9094
2013-09-26,0.9094,0.9117,0.9087,0.9101
2013-09-27,0.9101,0.911,0.902,0.9057
2013-09-30,0.9063,0.9068,0.9024,0.9049
2013-10-01,0.9049,0.9075,0.8992,0.9057
2013-10-02,0.9057,0.9077,0.8994,0.9025
2013-10-03,0.9024,0.9032,0.8967,0.899
2013-10-04,0.8991,0.9081,0.8978,0.907
2013-10-07,0.9064,0.9066,0.9016,0.9034
2013-10-08,0.9034,0.9065,0.9022,0.9039
2013-10-09,0.9039,0.9127,0.9015,0.9099
2013-10-10,0.9099,0.913,0.9082,0.911
2013-10-11,0.9109,0.9131,0.9069,0.9113
2013-10-14,0.9093,0.9122,0.9064,0.9102
2013-10-15,0.9102,0.9178,0.9092,0.9123
2013-10-16,0.9123,0.9175,0.9097,0.9132
2013-10-17,0.9132,0.9146,0.9007,0.9023
2013-10-18,0.9023,0.9036,0.9004,0.9019
2013-10-21,0.9017,0.9044,0.9005,0.902
2013-10-22,0.9021,0.9039,0.8939,0.8949
2013-10-23,0.8949,0.8965,0.891,0.8922
2013-10-24,0.8922,0.8928,0.889,0.8924
