Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2013-05-08,725.5,725.5,725.5,725.5
2013-05-09,743.5,743.5,743.5,743.5
2013-05-10,724.5,724.5,724.5,724.5
2013-05-13,731,731,731,731
2013-05-14,729,729,729,729
2013-05-15,718.5,718.5,718.5,718.5
2013-05-16,712.5,712.5,712.5,712.5
2013-05-17,707.5,707.5,707.5,707.5
2013-05-20,709.5,709.5,709.5,709.5
2013-05-21,705.5,705.5,705.5,705.5
2013-05-22,713.5,713.5,713.5,713.5
2013-05-23,730,730,730,730
2013-05-24,723,723,723,723
2013-05-28,719,719,719,719
2013-05-29,728,728,728,728
2013-05-30,724,724,724,724
2013-05-31,731,731,731,731
2013-06-03,733.5,733.5,733.5,733.5
2013-06-04,729,729,729,729
2013-06-05,720.5,720.5,720.5,720.5
2013-06-06,717.5,717.5,717.5,717.5
2013-06-10,709,709,709,709
2013-06-11,716,716,716,716
2013-06-12,702.5,702.5,702.5,702.5
2013-06-13,704.5,704.5,704.5,704.5
2013-06-14,699.5,699.5,699.5,699.5
2013-06-17,689.5,689.5,689.5,689.5
2013-06-18,698.5,698.5,698.5,698.5
2013-06-19,721.5,721.5,721.5,721.5
2013-06-20,714.5,714.5,714.5,714.5
2013-06-21,712.5,712.5,712.5,712.5
2013-06-24,686.5,686.5,686.5,686.5
2013-06-25,682.5,682.5,682.5,682.5
2013-06-26,676.5,676.5,676.5,676.5
2013-06-27,672.5,672.5,672.5,672.5
2013-06-28,657.5,657.5,657.5,657.5
2013-07-02,663,663,663,663
2013-07-03,669.5,669.5,669.5,669.5
2013-07-05,665,665,665,665
2013-07-08,673,673,673,673
2013-07-09,686.5,686.5,686.5,686.5
2013-07-10,688.5,688.5,688.5,688.5
2013-07-11,693,693,693,693
2013-07-12,695.5,695.5,695.5,695.5
2013-07-15,683.5,683.5,683.5,683.5
2013-07-16,683.75,683.75,683.75,683.75
2013-07-17,679.5,679.5,679.5,679.5
2013-07-18,674.5,674.5,674.5,674.5
2013-07-19,678.5,678.5,678.5,678.5
2013-07-22,677.5,677.5,677.5,677.5
2013-07-23,671.5,671.5,671.5,671.5
2013-07-24,671.5,671.5,671.5,671.5
2013-07-25,668,668,668,668
2013-07-26,669,669,669,669
2013-07-29,676.5,676.5,676.5,676.5
2013-07-30,680.5,680.5,680.5,680.5
2013-07-31,689.5,689.5,689.5,689.5
2013-08-01,683.5,683.5,683.5,683.5
2013-08-02,687.5,687.5,687.5,687.5
2013-08-05,668.5,668.5,668.5,668.5
2013-08-06,666,666,666,666
2013-08-07,654.5,654.5,654.5,654.5
2013-08-08,652,652,652,652
2013-08-09,643.5,643.5,643.5,643.5
2013-08-12,619.5,619.5,619.5,619.5
2013-08-13,613,613,613,613
2013-08-14,615,615,615,615
2013-08-15,626.5,626.5,626.5,626.5
2013-08-16,620.5,620.5,620.5,620.5
2013-08-19,630.5,630.5,630.5,630.5
2013-08-20,628.5,628.5,628.5,628.5
2013-08-21,627.5,627.5,627.5,627.5
2013-08-22,620,620,620,620
2013-08-23,623.5,623.5,623.5,623.5
2013-08-26,643.5,643.5,643.5,643.5
2013-08-27,637.5,637.5,637.5,637.5
2013-08-28,633.5,633.5,633.5,633.5
2013-08-29,635.5,635.5,635.5,635.5
2013-08-30,637.5,637.5,637.5,637.5
2013-09-03,631.5,631.5,631.5,631.5
2013-09-04,626,626,626,626
2013-09-05,615,615,615,615
2013-09-06,623,623,623,623
2013-09-09,615.5,615.5,615.5,615.5
2013-09-10,620.5,620.5,620.5,620.5
2013-09-11,617.5,617.5,617.5,617.5
2013-09-12,623,623,623,623
2013-09-13,621.5,621.5,621.5,621.5
2013-09-16,615.5,615.5,615.5,615.5
2013-09-17,617.5,617.5,617.5,617.5
2013-09-18,631.5,631.5,631.5,631.5
2013-09-19,617.5,617.5,617.5,617.5
2013-09-20,630.5,630.5,630.5,630.5
2013-09-23,637.5,637.5,637.5,637.5
2013-09-24,642.5,642.5,642.5,642.5
2013-09-25,654.5,654.5,654.5,654.5
2013-09-26,665.5,665.5,665.5,665.5
2013-09-27,675,675,675,675
2013-09-30,669.5,669.5,669.5,669.5
2013-10-01,669.5,669.5,669.5,669.5
2013-10-02,669.5,669.5,669.5,669.5
2013-10-03,669.75,669.75,669.75,669.75
2013-10-04,669.5,669.5,669.5,669.5
2013-10-07,670.25,670.25,670.25,670.25
2013-10-08,670.125,670.125,670.125,670.125
2013-10-09,669.75,669.75,669.75,669.75
2013-10-10,669.25,669.25,669.25,669.25
2013-10-11,669.875,669.875,669.875,669.875
2013-10-14,669.875,669.875,669.875,669.875
2013-10-15,669.125,669.125,669.125,669.125
2013-10-16,668.625,668.625,668.625,668.625
2013-10-17,696,696,696,696
2013-10-18,716,716,716,716
2013-10-21,711,711,711,711
2013-10-22,713,713,713,713
2013-10-23,714,714,714,714
2013-10-24,712,712,712,712
2013-10-25,707,707,707,707
2013-10-28,695.5,695.5,695.5,695.5
2013-10-29,701,701,701,701
2013-10-30,695,695,695,695
2013-10-31,691,691,691,691
2013-11-01,693,693,693,693
2013-11-04,687.5,687.5,687.5,687.5
2013-11-05,681,681,681,681
2013-11-06,678.5,678.5,678.5,678.5
2013-11-07,677.5,677.5,677.5,677.5
2013-11-08,674,674,674,674
2013-11-11,656.5,656.5,656.5,656.5
2013-11-12,658,658,658,658
2013-11-13,658.5,658.5,658.5,658.5
2013-11-14,655,655,655,655
2013-11-15,659,659,659,659
2013-11-18,656.5,656.5,656.5,656.5
2013-11-19,660.625,660.625,660.625,660.625
2013-11-20,667.5,667.5,667.5,667.5
2013-11-21,671.5,671.5,671.5,671.5
2013-11-22,675,675,675,675
2013-11-25,676.5,676.5,676.5,676.5
2013-11-26,674.5,674.5,674.5,674.5
2013-11-27,676,676,676,676
2013-11-29,684,684,684,684
2013-12-02,678.5,678.5,678.5,678.5
2013-12-03,683,683,683,683
2013-12-04,677,677,677,677
2013-12-05,682,682,682,682
2013-12-06,681,681,681,681
2013-12-09,681,681,681,681
2013-12-10,669,669,669,669
2013-12-11,670,670,670,670
2013-12-12,664,664,664,664
2013-12-13,658,658,658,658
2013-12-16,652,652,652,652
2013-12-17,644,644,644,644
2013-12-18,638,638,638,638
2013-12-19,635,635,635,635
2013-12-20,643,643,643,643
2013-12-23,639,639,639,639
2013-12-24,635,635,635,635
2013-12-27,639,639,639,639
2013-12-30,630,630,630,630
2013-12-31,640,640,640,640
2014-01-02,632,632,632,632
2014-01-03,640,640,640,640
2014-01-06,640,640,640,640
2014-01-07,637,637,637,637
2014-01-08,628,628,628,628
2014-01-09,614,614,614,614
2014-01-10,601,601,601,601
2014-01-13,608,608,608,608
2014-01-14,615,615,615,615
2014-01-15,599,599,599,599
2014-01-16,604,604,604,604
2014-01-17,598,598,598,598
2014-01-21,598,598,598,598
2014-01-22,597,597,597,597
2014-01-23,602,602,602,602
2014-01-24,601.5,601.5,601.5,601.5
2014-01-27,590.5,590.5,590.5,590.5
2014-01-28,591,591,591,591
2014-01-29,576,576,576,576
2014-01-30,578,578,578,578
2014-01-31,580,580,580,580
2014-02-03,588,588,588,588
2014-02-04,611.5,611.5,611.5,611.5
