Data,COPPER_d,DAX_d,DJI_d,EURJPY_d,EURUSD_d,GBPUSD_d,GERMANY10B_d,GLOBAL_ENERGY_d,GLOBAL_FINANCE_d,GLOBAL_HEALTHCARE_d,GLOBAL_INDUSTRY_d,GLOBAL_TECH_d,GOLD_d,IRON_d,JAPAN10B_d,NATGAS_d,NIKKEI_d,OILBRENT_d,PALLADIUM_d,POLAND10B_d,SP500_d,SPENERGY_d,SPTECH_d,SPVIX_d,USA10B_d,USA30B_d,USDCHF_d,USDJPY_d,WHEAT_d,WIG20_d
2013-05-08,3.371,8249.71,15105.12,130.19,1.3159,1.5538,1.271,29.5355,41.5838,32.8386,52.5858,11.0915,1473.7,130.2,0.594,3.869,14285.69,105.22,691.0,3.122,1632.69,810.68,316.11,12.66,1.76,2.978,0.9349,98.939,725.5,2367.91
2013-05-09,3.3415,8262.55,15082.62,131.26,1.3043,1.5443,1.273,29.4009,41.1385,32.7114,52.3801,11.0546,1457.77,130.2,0.597,3.888,14191.48,104.16,705.0,3.082,1626.67,808.78,314.7,13.13,1.813,2.997,0.9481,100.63,743.5,2348.95
2013-05-10,3.356,8278.59,15118.49,131.9,1.2984,1.5358,1.38,29.2634,41.2667,33.0283,52.5077,11.0825,1447.22,129.6,0.7,3.905,14607.54,104.07,704.0,3.163,1633.7,805.26,316.01,12.59,1.9,3.104,0.9574,101.58,724.5,2338.16
2013-05-13,3.362,8279.29,15091.68,132.09,1.2981,1.5301,1.356,29.2222,41.3137,33.1137,52.5166,11.0626,1430.4,129.4,0.78,3.879,14782.21,103.27,713.0,3.212,1633.77,804.97,314.89,12.55,1.923,3.129,0.957,101.75,731.0,2354.34
2013-05-14,3.2905,8339.11,15215.25,132.24,1.2931,1.5217,1.376,29.4726,41.5838,33.381,52.9083,11.1025,1425.1,128.1,0.861,3.95,14758.42,102.97,726.0,3.21,1650.34,815.62,315.9,12.77,1.952,3.163,0.9658,102.27,729.0,2386.81
2013-05-15,3.267,8362.42,15275.69,131.71,1.288,1.5224,1.381,29.3793,41.7982,33.526,53.0112,11.1453,1392.6,126.4,0.874,4.01,15096.03,102.56,723.0,3.259,1658.78,812.71,316.81,12.81,1.943,3.159,0.9657,102.25,718.5,2408.86
2013-05-16,3.292,8369.87,15233.22,131.69,1.2883,1.5273,1.33,29.1976,41.439,33.1565,52.8826,11.1762,1385.84,125.0,0.844,4.01,15037.24,102.42,735.0,3.24,1650.47,808.3,318.43,13.07,1.865,3.086,0.9644,102.22,712.5,2390.32
2013-05-17,3.321,8398.0,15354.4,132.47,1.2826,1.5165,1.329,29.5443,41.9754,33.2439,53.396,11.2918,1359.62,123.1,0.806,3.89,15138.12,103.72,733.0,3.229,1667.47,822.53,321.76,12.45,1.949,3.165,0.9728,103.28,707.5,2391.07
2013-05-20,3.357,8455.83,15335.28,131.73,1.2883,1.5257,1.378,29.8302,42.084,33.0998,53.676,11.2908,1393.55,123.0,0.851,4.103,15360.81,104.49,745.0,3.308,1666.29,833.79,321.45,13.02,1.965,3.174,0.9665,102.25,709.5,2376.78
2013-05-21,3.339,8472.2,15387.58,132.28,1.2905,1.515,1.394,29.8901,42.0292,33.4227,53.9648,11.2948,1376.03,123.6,0.886,4.138,15381.02,104.58,742.0,3.339,1669.16,832.45,320.57,13.37,1.944,3.149,0.9702,102.5,705.5,2370.32
